id,calificacion_producto,comentario,fecha,hora,productx_id,userx_id
1,3,"So maybe I'm being a little harsh - after all, we were low-rent Priceline customers, right? Wrong. Well, I mean, we were low-rent Priceline customers, but I don't think that should ever be a reason for less than standard service - therefore, I have to conclude that even had we paid full rate, we would likely have received the same service, the same room. The combination of ho-hum service, marginal rooms, and sky-high prices was simply unacceptable. With an abundance of nearby lodging and dining alternatives, I don’t see any compelling reason to ever visit The Benson Hotel again. ",2016-02-10,14:00:02,4760,26586
2,5,"I would never stay at the All-Stars again. Given the choice, I would rather stay at an off-site resort or at one of the hotels in Downtown Disney.  ",2016-02-10,9:22:23,493,225517
3,5,"Overall, staying at the Poly was great. We ate a meal at the Yacht Club resort and we found it somewhat inconvenient to take a crowded bus to and from the Magic Kingdom after our own experiences of simply taking the monorail to the Magic Kingdom. In my opinion, it is worth the money to be so close to the theme parks.  
 
The Poly is a great place for everyone-honeymooners, couples, families, singles-everyone can appreciate the décor and everything the Poly has to offer.",2016-02-10,11:32:23,4607,28720
4,3,"Drop your kids off at the Neverland Club (located within the resort) and spend an evening at Pleasure Island. The Neverland Club, like Ohana, has deteriorated a bit over the years, but is still fun for little kids.  
 
This is an expensive resort, no doubt about that. Going during the off season and joining the Disney Club will result in some reductions, but it's still not a place to go if you're on a tight budget.  ",2016-02-11,23:12:34,2449,34257
5,2,"Drop your kids off at the Neverland Club (located within the resort) and spend an evening at Pleasure Island. The Neverland Club, like Ohana, has deteriorated a bit over the years, but is still fun for little kids.  
 
This is an expensive resort, no doubt about that. Going during the off season and joining the Disney Club will result in some reductions, but it's still not a place to go if you're on a tight budget. ",2016-02-11,16:39:56,1303,35420
6,1,"As far as playing the slots, I didn't even bother. My decision to play in a casino is usually based on whether or not there's any noise. I didn't even hear a coin drop. For me that's not a good sign. The sound of coins, music, even people screaming (for winning of course) is the draw. Vegas is about excitement and the Riviera was lacking in that department.  ",2016-02-11,23:07:45,798,16122
7,2,"The service on the casino floor was very slow at times. At one point I ordered a drink after tracking down a waitress and she never returned.  
However, I did see her serving the higher priced machines a couple of minutes later. I am a very good tipper, which is very important in this town. On our next trip we are planning to stay elsewhere!  ",2016-02-13,10:30:12,4,18128
8,4,"Also, one thing I love about Fremont Street (where the Nugget is located) is that everything is in close proximity. So you can go walk from hotel to hotel, without dying of heat prostration. I like to gamble at the Golden Gate (when I'm feeling cheap) because they have $3 tables. Also, the laser show on Fremont Street is really incredible - they have it every evening after dark. There are little kiosks with gifts, etc... up and down the street too. However, I would recommend not walking outside of Fremont Street as the surrounding areas are a little scary.  
 
I would definitely recommend the Golden Nugget ( oh, and did I mention free parking for hotel guests?) it's beautifully appointed, luxurious and if you hit it just right, cheap.",2016-02-14,12:04:32,4300,34812
9,1,,2016-02-14,17:32:12,913,19311
10,1,"This hotel is very expensive to stay at, but well worth it. Whenever a T.V. family goes to Disney World, they almost always stay at the Yacht and Beach Club. It's no wonde ",2016-02-14,9:22:23,1,14693
11,3,"In the debate over whether to stay on-site or off-site while visiting Disney World and other Orlando-area attractions, I think if the choice were this motel or an off-site motel, I would go off-site where there are many more attractive lodgings for less money. I think anyone choosing to stay at the All Star Sports Resort would do well to rent a car. This place is pretty isolated from the most desirable sections of the Disney World complex.  
",2016-02-14,10:30:12,1289,17648
12,4,"I won't be staying at Palace Station again. I'll get back to everyone when I get back from my next trip. In the meantime, have fun, win big, and win often!  ",2016-02-14,12:04:32,3357,21976
13,4,"Overall, Disney's Beach Club knows how to make a good time for the whole family--anyone staying at the Yacht & Beach Club has so many options just a few steps away. I highly recommend this resort; I know you will, too!  ",2016-02-14,23:12:34,1904,34257
14,3,"Overall, I would highly recommend the Hyatt Regency Lake Tahoe Resort and Casino. Almost everything you could want is under one roof, and everything else is mere minutes away. A perfect Lake Tahoe destination! ",2016-02-15,17:32:12,1312,224443
15,4,"The whole decor of the casino and hotel seems to have frozen 10-15 years back in time. The rooms are OK. The parking lot for the hotel guests is the farthest I have ever seen. The casino is fairly large. They have some very nice shows if you are interested. The hotel may be considered on the strip 5 years back, not anymore. The ""REAL STRIP"" is where the new casinos like Paris, New York New York, Bellagio, Venetian, Mirage etc. are, which is quite far.  ",2016-02-17,10:30:12,3193,26927
16,5,Treasure Island has so much to offer it has to be one of the best on the Las Vegas Strip. We had so much fun here and found everything to be in great shape. Whether you are looking for a place for a business meeting or just a great place for a getaway this is definitely the place for you! Just watch out for those Pirates! ,2016-02-18,12:04:32,1658,27836
17,1,"There's a reason why this resort has consistently received top ratings from Conde Nast. It's hard to find much wrong with it. The service is friendly, accommodating and the employees go out of their way to make your vacation as perfect as it can possibly be. That attitude is what makes the Hyatt Regency Kauai special. Without that, all you have is the empty shell of a resort. It's the heart that makes the difference.  ",2016-02-19,9:22:23,2619,33860
18,1,"So, Disney gives you a resort at a great value, but there is still a price to pay for what you aren't literally paying for! ",2016-02-20,11:32:23,120,223890
19,2,"The resort area of the hotel is equally incredible. There is an adult pool, a pool with a waterslide as well as several hot tubs nestled between the waterfalls and tropical foliage. While these are beautiful themselves, I was highly impressed with the vast saltwater lagoon that is sprinkled with several small ""islands"" with their own hammocks swaying between palm trees.  
 
We ate at the ""Tidepools"" restaurant on the hotel property. The restaurants atmosphere was extremely romantic. We were seated in a gazebo like structure, sitting in the middle of a pond complete with Koi fish. The waiter suggested the grilled seafood platter. Our tastebuds were delighted with the luscious flavors of freshly grilled shrimp and lobster complimented by a tropical fruit salsa. The waiter did great with his suggestion to order that night's special.  
 
If you are ever fortunate enough to visit the beautiful island of Kauai, try to stay at the Hyatt Regency, you won't be disappointed.  ",2016-02-20,17:32:12,846,27513
20,2,"The Service: There are many different services that are offered at the Beach Club. Whether you need customer service or Valet parking, someone is always there to help you. Everyone always has a smile on their face. There is even a ""Greeter"" who is dressed as a ship's captain who says good morning and/or welcome to you every time you leave and come back!  
 
Some of the other services that they have are kid's programs at the Sandcastle Club, an Arcade, A health club and a barber/hairdresser salon. There are facilities right at your fingertips where you can rent boats, play tennis, volleyball or even croquet.  ",2016-02-20,23:12:34,1943,19311
21,4,"Okay, now that that is behind us, let's talk about the beauty of this hotel. The grounds are breathtaking. They landscaped it so that you feel as if you are in a tropical paradise. The best part of the grounds is the lagoon and pools. The pools are all freshwater. We're not talking about a standard rectangular pool - the pools are like meandering paths that curve around and go under foot bridges, under rock bridges, etc. The pools are on multiple levels with waterfalls between the levels. All around the pools are sun decks with lounge chairs. And then there is the lagoon. The lagoon is salt water with an artificial sand-like bottom. I say sand-like because the sand pieces are way too large to be natural sand. When I first saw this, I couldn't understand why they used it but it became apparent. When walking on it, it doesn't stick to your feet! The individual pieces are too big! How clever. Swimming in the lagoon was more fun than the pools, in my opinion, because it felt more like swimming in a natural setting. The deep end of the lagoon is also used for scuba diving classes.  ",2016-02-20,16:39:56,5154,34499
22,5,,2016-02-20,9:22:23,3688,18128
23,5,,2016-02-21,10:30:12,1129,225354
24,1,"Very Nice Overall Experience  
 
I had no complaints at all about the Ritz-Carlton during my stay. The room was comfortable with everything I needed, the food was good, and the service prompt and polite. As I was only there for two days and busy with a conference I didn't get to check out all the available facilities at the hotel but everything I experienced was excellent.  ",2016-02-21,17:32:12,1439,2308
25,5,,2016-02-21,10:30:12,3548,8341
26,4,,2016-02-21,14:00:02,1063,12
27,5,,2016-02-23,14:00:02,2352,4156
28,2,"I found if you budget your money in advance for food, souvenir's and gambling, you can have a great and memorable time in Lake Tahoe. I also recommend joining the Hyatt Gold Passport club, because you can also upgrade to the Cabins on the lake with you member points the price drops down to about $245 from $345 a night. You accrue, member points, with every stay at any Hyatt. Also, with your Gold passport card you get discounts in the Hotels gift shops.  
 ",2016-02-23,10:30:12,2866,33860
