@RELATION avaluosfiltros_cubo_cdmx_departamentos_media69
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE VALOR_COMPARATIVO_INMUEBLE_M2 NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.0903278, 19.4684028, 47.55, 1.0, 2.0, 0.79, 0.79, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 2000, 494.0, 494.0, 684.0, 133.0, 817.0, 133.0, 817.0, 570.0, 1.2, 1.0, 505312.5, 14717.82, 700000.0 
-99.0873167, 19.4850361, 70.23, 0.0, 3.0, 0.75, 0.75, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 2.0, 5.0, 1100.0, 400.0, 400.0, 450.0, 300.0, 500.0, 400.0, 700.0, 550.0, 1.0, 1.0, 688861.72, 11186.8, 786000.0 
-99.0883667, 19.4717306, 82.5, 1.0, 3.0, 0.64, 0.64, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 5.0, 1500.0, 1500.0, 1500.0, 300.0, 1000.0, 300.0, 1000.0, 1800.0, 500.0, 1.2, 1.0, 857540.3, 12633.85, 1042000.0 
-99.09543, 19.477323, 52.55, 1.0, 2.0, 0.89, 0.89, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 2.0, 5.0, 1500.0, 600.0, 600.0, 650.0, 600.0, 800.0, 600.0, 400.0, 600.0, 1.2, 1.0, 899022.21, 18216.1, 960000.0 
-99.0930321, 19.4812791, 60.03, 0.0, 2.0, 0.9, 0.9, 1.0, 3.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 2.0, 5.0, 2000, 800.0, 760.0, 1500.0, 750.0, 1100.0, 750.0, 300.0, 200.0, 1.0, 1.0, 771555.66, 14777.16, 852000.0 
-99.09543, 19.477323, 52.55, 1.0, 2.0, 0.89, 0.89, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 2.0, 5.0, 1500.0, 600.0, 600.0, 650.0, 600.0, 800.0, 600.0, 400.0, 600.0, 1.2, 1.0, 899022.21, 18216.1, 960000.0 
-99.0833891, 19.4715231, 71.9, 0.0, 3.0, 0.84, 0.84, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 1.0, 5.0, 1200.0, 1000.0, 1000.0, 300.0, 100.0, 2000.0, 100.0, 700.0, 300.0, 1.0, 1.0, 734143.4, 11467.98, 825000.0 
-99.094347, 19.479185, 60.03, 0.0, 2.0, 0.75, 0.75, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 5.0, 2000, 2000.0, 2000.0, 2000.0, 1500.0, 2000.0, 1500.0, 850.0, 2000.0, 1.2, 1.0, 946970.32, 17435.0, 1047000.0 
-99.0978889, 19.4920278, 59.81, 0.0, 2.0, 0.9, 0.9, 1.0, 3.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 2.0, 5.0, 1500.0, 780.0, 780.0, 400.0, 580.0, 1000.0, 580.0, 250.0, 1000.0, 1.2, 1.0, 542131.83, 11036.17, 620000.0 
-99.0946, 19.479413, 60.03, 0.0, 1.0, 0.89, 0.89, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1900.0, 500.0, 500.0, 650.0, 500.0, 900.0, 500.0, 150.0, 500.0, 1.2, 1.0, 814592.96, 14747.74, 885306.83 
-99.090635, 19.467885, 47.55, 1.0, 2.0, 0.9, 0.9, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 1.0, 1.0, 2000.0, 500.0, 300.0, 500.0, 300.0, 1000.0, 300.0, 500.0, 700.0, 1.2, 1.0, 583290.35, 15796.82, 751000.0 
-99.0979139, 19.4918083, 59.81, 0.0, 2.0, 0.75, 0.75, 1.0, 3.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 600.0, 500.0, 500.0, 300.0, 800.0, 500.0, 500.0, 500.0, 300.0, 1.0, 1.0, 511944.77, 9710.7, 581000.0 
