LONGITUD, LATITUD, SUPERFICIE_VENDIBLE, NUMERO_ESTACIONAMIENTOS, NUMERO_RECAMARAS, FACTOR_RESULTANTE_PRIVATIVAS, FACTOR_EDAD_PRIVATIVAS, FACTOR_CONSERVACION_PRIVATIVAS, CVE_NIVEL_INFRAESTR_URBANA, CVE_NIVEL_EQUIPAMIENTO_URBANO, CVE_CLASE_INMUEBLE, CVE_CLASE_GENERAL_INMUEBLES_ZONA, CVE_NIVEL_SOCIO_ECONOMICO_ZONA, CVE_CLASIFICACION_ZONA, CVE_DENSIDAD_POBLACION, CVE_REF_PROXIMIDAD_URBANA, CVE_UBICACION_INMUEBLE_TERRENO, DISTANCIA_UNIVERSIDAD, DISTANCIA_CENTRO_DEPORTIVO, DISTANCIA_CANCHAS_DEPORTIVAS, DISTANCIA_MERCADOS, DISTANCIA_PARQUES, DISTANCIA_PLAZASPUBLICAS, DISTANCIA_JARDINES, DISTANCIA_SUPERMERCADOS, DISTANCIA_IGLESIA, FZO, FFR, IMPORTE_TOTAL_ENFOQUE_DE_COSTOS, VALOR_COMPARATIVO_INMUEBLE_M2, IMPORTE_VALOR_CONCLUIDO 
-103.4126278, 20.6344472, 78.34, 2.0, 3.0, 0.65, 0.71, 0.92, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 1.0, 200.0, 700.0, 700.0, 860.0, 200.0, 490.0, 150.0, 180.0, 520.0, 1.0, 1.0, 949162.23, 12756.94, 999000.0 
-103.4480833, 20.6746389, 117.26, 2.0, 1.0, 0.98, 0.98, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 2.0, 4.0, 1700.0, 1110.0, 1110.0, 500.0, 340.0, 1600.0, 340.0, 1600.0, 630.0, 1.0, 1.0, 1586000.0, 20500.0, 2404000.0 
-103.3914441, 20.6496011, 64.9, 1.0, 2.0, 0.26, 0.74, 1.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 5.0, 800.0, 500.0, 500.0, 1000.0, 500.0, 2000, 500.0, 500.0, 1000.0, 1.0, 1.0, 874929.4, 7000.0, 961000.0 
-103.4322639, 20.6508083, 60.22, 1.0, 2.0, 0.64, 0.64, 1.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 5.0, 2.0, 1.0, 2000, 2000, 2000, 100.0, 2000, 2000, 2000, 1600.0, 600.0, 1.2, 1.0, 731895.72, 18290.83, 1101000.0 
-103.412271, 20.6165027, 70.93, 2.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 5.0, 1180.0, 1360.0, 1360.0, 710.0, 290.0, 660.0, 1340.0, 1830.0, 510.0, 1.0, 1.0, 831119.21, 17080.0, 1211000.0 
-103.4335139, 20.6592778, 75.3, 1.0, 3.0, 0.61, 0.66, 0.92, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 2.0, 5.0, 2000, 300.0, 300.0, 1900.0, 100.0, 300.0, 100.0, 300.0, 300.0, 1.0, 1.2, 630802.23, 12360.0, 931000.0 
-103.4141241, 20.6863151, 94.43, 1.0, 3.0, 0.81, 0.75, 0.91, 3.0, 2.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 5.0, 796.0, 2000, 779.0, 2000, 429.0, 479.0, 429.0, 464.0, 479.0, 1.0, 1.0, 1315733.0, 14740.0, 1392000.0 
-103.4194028, 20.6717083, 95.99, 1.0, 3.0, 0.63, 0.69, 0.92, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 2.0, 5.0, 2000, 2000, 2000, 500.0, 100.0, 700.0, 100.0, 500.0, 300.0, 1.0, 1.7, 984614.63, 12380.0, 1188000.0 
-103.421891, 20.6761555, 95.0, 1.0, 3.0, 0.7, 0.76, 0.92, 3.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 5.0, 1500.0, 600.0, 600.0, 300.0, 200.0, 300.0, 250.0, 900.0, 300.0, 1.0, 1.0, 1089110.72, 15100.0, 1435000.0 
-103.411972, 20.6164447, 70.93, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 5.0, 1180.0, 1360.0, 1360.0, 710.0, 290.0, 660.0, 1340.0, 1830.0, 510.0, 1.0, 1.0, 817427.33, 18853.0, 1337000.0 
