LONGITUD, LATITUD, SUPERFICIE_VENDIBLE, NUMERO_ESTACIONAMIENTOS, NUMERO_RECAMARAS, FACTOR_RESULTANTE_PRIVATIVAS, FACTOR_EDAD_PRIVATIVAS, FACTOR_CONSERVACION_PRIVATIVAS, CVE_NIVEL_INFRAESTR_URBANA, CVE_NIVEL_EQUIPAMIENTO_URBANO, CVE_CLASE_INMUEBLE, CVE_CLASE_GENERAL_INMUEBLES_ZONA, CVE_NIVEL_SOCIO_ECONOMICO_ZONA, CVE_CLASIFICACION_ZONA, CVE_DENSIDAD_POBLACION, CVE_REF_PROXIMIDAD_URBANA, CVE_UBICACION_INMUEBLE_TERRENO, DISTANCIA_UNIVERSIDAD, DISTANCIA_CENTRO_DEPORTIVO, DISTANCIA_CANCHAS_DEPORTIVAS, DISTANCIA_MERCADOS, DISTANCIA_PARQUES, DISTANCIA_PLAZASPUBLICAS, DISTANCIA_JARDINES, DISTANCIA_SUPERMERCADOS, DISTANCIA_IGLESIA, FZO, FFR, IMPORTE_TOTAL_ENFOQUE_DE_COSTOS, VALOR_COMPARATIVO_INMUEBLE_M2, IMPORTE_VALOR_CONCLUIDO 
-100.243714, 25.715444, 80.5, 1.0, 2.0, 0.01, 0.99, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 5.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 707010.0, 3000.0, 821000.0 
-100.244396, 25.715276, 80.5, 1.0, 2.0, 0.01, 0.99, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 5.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 707010.0, 3000.0, 821000.0 
-100.244396, 25.715276, 80.5, 1.0, 2.0, 0.01, 0.99, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 5.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 707010.0, 3000.0, 821000.0 
-100.243876, 25.715528, 80.5, 1.0, 2.0, 0.01, 0.99, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 5.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 707010.0, 3000.0, 821000.0 
-100.235563, 25.704778, 55.92, 1.0, 2.0, 0.64, 0.64, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 2000, 2000, 800.0, 900.0, 103.0, 103.0, 2000, 460.0, 960.0, 1.0, 1.0, 448542.92, 8075.47, 452000.0 
-100.244047, 25.7153897, 80.5, 1.0, 2.0, 0.73, 0.75, 0.98, 3.0, 2.0, 4.0, 4.0, 4.0, 4.0, 5.0, 2.0, 5.0, 650.0, 1200.0, 320.0, 300.0, 300.0, 300.0, 300.0, 300.0, 70.0, 1.0, 1.0, 865844.26, 9500.0, 765000.0 
-100.2431683, 25.7164318, 69.55, 0.0, 2.0, 0.97, 0.97, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 2.0, 5.0, 1470.0, 803.0, 50.0, 2000, 50.0, 775.0, 50.0, 638.0, 55.0, 1.0, 1.0, 905497.05, 16910.0, 1176000.0 
-100.244396, 25.715276, 80.5, 1.0, 2.0, 0.01, 0.99, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 5.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 707010.0, 3000.0, 821000.0 
-100.237992, 25.679656, 71.94, 1.0, 2.0, 0.61, 0.61, 1.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 1.0, 4.0, 330.0, 800.0, 80.0, 530.0, 50.0, 50.0, 50.0, 600.0, 560.0, 1.0, 0.8, 367326.6, 5638.27, 406000.0 
-100.243714, 25.715444, 80.5, 1.0, 2.0, 0.01, 0.99, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 5.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 707010.0, 3000.0, 821000.0 
-100.243714, 25.715444, 80.5, 1.0, 2.0, 0.01, 0.99, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 5.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 707010.0, 3000.0, 821000.0 
-100.217837, 25.697333, 74.1, 1.0, 2.0, 0.0, 1.0, 1.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 5.0, 1500.0, 2000.0, 100.0, 700.0, 1000.0, 50.0, 50.0, 700.0, 350.0, 1.0, 1.0, 621037.22, 3500.0, 651000.0 
-100.2444083, 25.7154944, 80.5, 1.0, 2.0, 0.7, 0.7, 1.0, 3.0, 2.0, 4.0, 4.0, 4.0, 4.0, 5.0, 3.0, 5.0, 1500.0, 2000, 1000.0, 500.0, 230.0, 230.0, 230.0, 500.0, 600.0, 1.0, 1.0, 644700.0, 9080.0, 731000.0 
-100.2443056, 25.7154417, 80.5, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 1.0, 4.0, 2000, 800.0, 800.0, 500.0, 100.0, 100.0, 100.0, 500.0, 100.0, 1.0, 1.0, 689064.7, 9284.89, 747433.65 
-100.243876, 25.715528, 80.5, 1.0, 2.0, 0.01, 0.99, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 5.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 707010.0, 3000.0, 821000.0 
-100.2374833, 25.6915139, 94.26, 0.0, 1.0, 0.97, 0.97, 1.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 5.0, 2.0, 5.0, 2000, 2000, 1400.0, 200.0, 500.0, 500.0, 500.0, 200.0, 900.0, 1.0, 1.0, 844400.0, 16900.0, 1593000.0 
-100.243714, 25.715444, 80.5, 1.0, 2.0, 0.01, 0.99, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 2.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 754792.5, 3000.0, 821000.0 
