LONGITUD, LATITUD, SUPERFICIE_VENDIBLE, NUMERO_ESTACIONAMIENTOS, NUMERO_RECAMARAS, FACTOR_RESULTANTE_PRIVATIVAS, FACTOR_EDAD_PRIVATIVAS, FACTOR_CONSERVACION_PRIVATIVAS, CVE_NIVEL_INFRAESTR_URBANA, CVE_NIVEL_EQUIPAMIENTO_URBANO, CVE_CLASE_INMUEBLE, CVE_CLASE_GENERAL_INMUEBLES_ZONA, CVE_NIVEL_SOCIO_ECONOMICO_ZONA, CVE_CLASIFICACION_ZONA, CVE_DENSIDAD_POBLACION, CVE_REF_PROXIMIDAD_URBANA, CVE_UBICACION_INMUEBLE_TERRENO, DISTANCIA_UNIVERSIDAD, DISTANCIA_CENTRO_DEPORTIVO, DISTANCIA_CANCHAS_DEPORTIVAS, DISTANCIA_MERCADOS, DISTANCIA_PARQUES, DISTANCIA_PLAZASPUBLICAS, DISTANCIA_JARDINES, DISTANCIA_SUPERMERCADOS, DISTANCIA_IGLESIA, FZO, FFR, IMPORTE_TOTAL_ENFOQUE_DE_COSTOS, VALOR_COMPARATIVO_INMUEBLE_M2, IMPORTE_VALOR_CONCLUIDO 
-100.3736801, 25.7000901, 95.84, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 3.0, 2.0, 5.0, 2000, 2500.0, 2000, 2000, 50.0, 2000, 300.0, 1000.0, 1500.0, 1.0, 1.0, 2156900.97, 24752.24, 2372300.0 
-100.3475, 25.7266667, 78.85, 2.0, 2.0, 0.96, 0.96, 1.0, 4.0, 4.0, 5.0, 4.0, 5.0, 2.0, 3.0, 1.0, 5.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 1.0, 1.0, 1153843.93, 15970.36, 1260000.0 
-100.35509, 25.67573, 139.04, 2.0, 3.0, 0.13, 0.87, 1.0, 4.0, 1.0, 5.0, 5.0, 5.0, 3.0, 6.0, 2.0, 5.0, 1500.0, 500.0, 1000.0, 1500.0, 1000.0, 1000.0, 1000.0, 800.0, 1000.0, 1.0, 1.0, 2388240.02, 9500.0, 2899000.0 
-100.3248778, 25.6481889, 76.12, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 4.0, 2.0, 5.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 1.2, 1.0, 2243245.64, 40945.48, 3117000.0 
-100.4066389, 25.74215, 142.7, 2.0, 3.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 4.0, 2.0, 5.0, 500.0, 1500.0, 1500.0, 1500.0, 250.0, 250.0, 250.0, 1500.0, 1500.0, 1.0, 1.0, 1626932.13, 12837.12, 1832000.0 
-100.3404411, 25.6578351, 178.5, 2.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 4.0, 2.0, 5.0, 1800.0, 600.0, 50.0, 800.0, 500.0, 500.0, 50.0, 800.0, 800.0, 1.0, 1.0, 5418255.15, 37897.69, 6629000.0 
-100.3553556, 25.6454583, 162.0, 2.0, 2.0, 1.05, 0.95, 1.1, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 4.0, 1.0, 5.0, 1500.0, 1000.0, 900.0, 1000.0, 100.0, 800.0, 100.0, 1000.0, 1000.0, 1.0, 1.0, 5868520.8, 39100.0, 6334000.0 
-100.3494391, 25.6657451, 140.09, 2.0, 2.0, 0.98, 0.98, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 3.0, 1.0, 4.0, 600.0, 800.0, 500.0, 2000.0, 600.0, 600.0, 600.0, 2000.0, 1800.0, 1.0, 1.0, 2489990.08, 21139.53, 2813000.0 
-100.300157, 25.67322, 114.85, 1.0, 2.0, 0.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 3.0, 1.0, 1.0, 700.0, 2000.0, 2000, 1500.0, 300.0, 300.0, 300.0, 700.0, 500.0, 1.0, 1.0, 2010728.86, 8400.0, 2375000.0 
-100.2993056, 25.6730278, 109.35, 0.0, 2.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.0, 3.0, 1.0, 2.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 1.0, 1.0, 2035537.97, 20681.61, 2260000.0 
