LONGITUD, LATITUD, SUPERFICIE_VENDIBLE, NUMERO_ESTACIONAMIENTOS, NUMERO_RECAMARAS, FACTOR_RESULTANTE_PRIVATIVAS, FACTOR_EDAD_PRIVATIVAS, FACTOR_CONSERVACION_PRIVATIVAS, CVE_NIVEL_INFRAESTR_URBANA, CVE_NIVEL_EQUIPAMIENTO_URBANO, CVE_CLASE_INMUEBLE, CVE_CLASE_GENERAL_INMUEBLES_ZONA, CVE_NIVEL_SOCIO_ECONOMICO_ZONA, CVE_CLASIFICACION_ZONA, CVE_DENSIDAD_POBLACION, CVE_REF_PROXIMIDAD_URBANA, CVE_UBICACION_INMUEBLE_TERRENO, DISTANCIA_UNIVERSIDAD, DISTANCIA_CENTRO_DEPORTIVO, DISTANCIA_CANCHAS_DEPORTIVAS, DISTANCIA_MERCADOS, DISTANCIA_PARQUES, DISTANCIA_PLAZASPUBLICAS, DISTANCIA_JARDINES, DISTANCIA_SUPERMERCADOS, DISTANCIA_IGLESIA, FZO, FFR, IMPORTE_TOTAL_ENFOQUE_DE_COSTOS, VALOR_COMPARATIVO_INMUEBLE_M2, IMPORTE_VALOR_CONCLUIDO 
-99.1669891, 19.4189591, 89.62, 0.0, 2.0, 0.75, 0.75, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 6.0, 1.0, 5.0, 303.0, 289.0, 2000, 111.0, 471.0, 685.0, 471.0, 271.0, 193.0, 1.2, 1.0, 1435068.82, 32010.0, 2869000.0 
-99.1552871, 19.4313491, 102.52, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 6.0, 1.0, 5.0, 830.0, 214.0, 2000, 586.0, 510.0, 1150.0, 510.0, 359.0, 301.0, 1.0, 1.0, 2695570.25, 34970.0, 3585000.0 
-99.1768333, 19.4270277, 104.4, 2.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 4.0, 2.0, 5.0, 2000, 2000, 2000, 400.0, 700.0, 1200.0, 2000, 2000, 150.0, 1.0, 1.0, 3898150.48, 49100.0, 5126000.0 
-99.1580889, 19.4388694, 66.24, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 4.0, 2.0, 5.0, 1000.0, 800.0, 720.0, 380.0, 250.0, 620.0, 250.0, 620.0, 600.0, 1.0, 1.0, 1308259.61, 26937.09, 1784000.0 
-99.1604477, 19.4342433, 63.04, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 4.0, 1.0, 5.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 1.0, 1.0, 1276900.27, 30857.96, 1945000.0 
-99.1580889, 19.4388694, 65.22, 1.0, 2.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 4.0, 1.0, 5.0, 200.0, 800.0, 800.0, 200.0, 300.0, 400.0, 200.0, 600.0, 200.0, 1.0, 1.0, 1278817.71, 26272.62, 1714000.0 
-99.177283, 19.418106, 101.0, 2.0, 2.0, 0.91, 0.91, 1.0, 3.0, 4.0, 5.0, 4.0, 5.0, 2.0, 5.0, 1.0, 5.0, 2000.0, 400.0, 400.0, 500.0, 400.0, 400.0, 400.0, 400.0, 500.0, 1.0, 1.0, 2617826.32, 39158.79, 3955000.0 
-99.1644311, 19.4212341, 126.11, 2.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 6.0, 1.0, 1.0, 187.0, 245.0, 2000, 1125.0, 362.0, 300.0, 362.0, 2000, 260.0, 1.0, 1.0, 2519061.38, 41990.0, 5295000.0 
-99.1563091, 19.4191081, 99.59, 0.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 6.0, 1.0, 5.0, 482.0, 375.0, 2000, 1190.0, 150.0, 830.0, 150.0, 218.0, 364.0, 1.0, 1.0, 1920124.93, 33420.0, 3328000.0 
-99.1653079, 19.4300899, 68.3, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 6.0, 1.0, 5.0, 429.0, 619.0, 2000, 1309.0, 412.0, 394.0, 412.0, 1380.0, 262.0, 1.0, 1.0, 1409692.88, 37350.0, 2551000.0 
