LONGITUD, LATITUD, SUPERFICIE_VENDIBLE, NUMERO_ESTACIONAMIENTOS, NUMERO_RECAMARAS, FACTOR_RESULTANTE_PRIVATIVAS, FACTOR_EDAD_PRIVATIVAS, FACTOR_CONSERVACION_PRIVATIVAS, CVE_NIVEL_INFRAESTR_URBANA, CVE_NIVEL_EQUIPAMIENTO_URBANO, CVE_CLASE_INMUEBLE, CVE_CLASE_GENERAL_INMUEBLES_ZONA, CVE_NIVEL_SOCIO_ECONOMICO_ZONA, CVE_CLASIFICACION_ZONA, CVE_DENSIDAD_POBLACION, CVE_REF_PROXIMIDAD_URBANA, CVE_UBICACION_INMUEBLE_TERRENO, DISTANCIA_UNIVERSIDAD, DISTANCIA_CENTRO_DEPORTIVO, DISTANCIA_CANCHAS_DEPORTIVAS, DISTANCIA_MERCADOS, DISTANCIA_PARQUES, DISTANCIA_PLAZASPUBLICAS, DISTANCIA_JARDINES, DISTANCIA_SUPERMERCADOS, DISTANCIA_IGLESIA, FZO, FFR, IMPORTE_TOTAL_ENFOQUE_DE_COSTOS, VALOR_COMPARATIVO_INMUEBLE_M2, IMPORTE_VALOR_CONCLUIDO 
-103.4073889, 20.7526111, 76.63, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 2000, 2000, 100.0, 1300.0, 100.0, 2000.0, 100.0, 2000.0, 1300.0, 1.0, 1.0, 980000.0, 17350.0, 1330000.0 
-103.4078056, 20.7525278, 76.63, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 2000, 2000, 100.0, 1300.0, 100.0, 2000.0, 100.0, 2000.0, 1300.0, 1.0, 1.0, 960000.0, 14140.0, 1080000.0 
-103.4077778, 20.7527222, 76.05, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 2000, 2000, 100.0, 1300.0, 100.0, 2000.0, 100.0, 2000.0, 1300.0, 1.0, 1.0, 972000.0, 13740.0, 1045000.0 
-103.4078056, 20.7525278, 76.63, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 2000, 2000, 100.0, 1300.0, 100.0, 2000.0, 100.0, 2000.0, 1300.0, 1.0, 1.0, 960000.0, 14140.0, 1080000.0 
-103.407611, 20.7528138, 71.22, 2.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 4.0, 4.0, 4.0, 3.0, 5.0, 4.0, 5.0, 2000, 1700.0, 1700.0, 1155.0, 150.0, 2000, 150.0, 2000.0, 1020.0, 1.0, 1.0, 816301.78, 11980.0, 853000.0 
-103.4083889, 20.7528056, 76.05, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 2000, 2000, 100.0, 1300.0, 100.0, 2000.0, 100.0, 2000.0, 1300.0, 1.0, 1.0, 951000.0, 13090.0, 995000.0 
-103.406508, 20.755903, 65.69, 1.0, 2.0, 0.98, 0.98, 1.0, 3.0, 2.0, 4.0, 4.0, 4.0, 3.0, 5.0, 4.0, 5.0, 2000, 1700.0, 1700.0, 1155.0, 150.0, 2000, 150.0, 2000.0, 1020.0, 1.0, 1.0, 753740.79, 12216.0, 802000.0 
-103.4083889, 20.7528056, 76.05, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 2000, 2000, 100.0, 1300.0, 100.0, 2000.0, 100.0, 2000.0, 1300.0, 1.0, 1.0, 951000.0, 13090.0, 995000.0 
-103.40775, 20.7527778, 76.05, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 2000, 2000, 100.0, 1300.0, 100.0, 2000.0, 100.0, 2000.0, 1300.0, 1.0, 1.0, 951000.0, 12960.0, 986000.0 
-103.4076167, 20.7526583, 76.63, 1.0, 2.0, 0.0, 1.0, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 5.0, 2000, 2000, 500.0, 1000.0, 300.0, 2000, 300.0, 1000.0, 1000.0, 1.0, 1.0, 975651.87, 4900.0, 1027000.0 
