LONGITUD, LATITUD, SUPERFICIE_VENDIBLE, NUMERO_ESTACIONAMIENTOS, NUMERO_RECAMARAS, FACTOR_RESULTANTE_PRIVATIVAS, FACTOR_EDAD_PRIVATIVAS, FACTOR_CONSERVACION_PRIVATIVAS, CVE_NIVEL_INFRAESTR_URBANA, CVE_NIVEL_EQUIPAMIENTO_URBANO, CVE_CLASE_INMUEBLE, CVE_CLASE_GENERAL_INMUEBLES_ZONA, CVE_NIVEL_SOCIO_ECONOMICO_ZONA, CVE_CLASIFICACION_ZONA, CVE_DENSIDAD_POBLACION, CVE_REF_PROXIMIDAD_URBANA, CVE_UBICACION_INMUEBLE_TERRENO, DISTANCIA_UNIVERSIDAD, DISTANCIA_CENTRO_DEPORTIVO, DISTANCIA_CANCHAS_DEPORTIVAS, DISTANCIA_MERCADOS, DISTANCIA_PARQUES, DISTANCIA_PLAZASPUBLICAS, DISTANCIA_JARDINES, DISTANCIA_SUPERMERCADOS, DISTANCIA_IGLESIA, FZO, FFR, IMPORTE_TOTAL_ENFOQUE_DE_COSTOS, VALOR_COMPARATIVO_INMUEBLE_M2, IMPORTE_VALOR_CONCLUIDO 
-103.370702, 20.6907628, 90.0, 2.0, 3.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 2.0, 3.0, 2.0, 2.0, 2000, 600.0, 600.0, 200.0, 300.0, 1200.0, 200.0, 800.0, 150.0, 1.0, 1.0, 1533695.2, 25600.0, 2304000.0 
-103.368738, 20.6677694, 129.5, 2.0, 3.0, 0.96, 0.98, 0.98, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 3.0, 2.0, 3.0, 2000, 2000, 2000, 1000.0, 800.0, 50.0, 2000, 2000, 800.0, 1.0, 1.0, 2427826.98, 24215.0, 3136000.0 
-103.40842, 20.69876, 193.32, 2.0, 3.0, 0.95, 0.98, 0.98, 3.0, 2.0, 5.0, 5.0, 5.0, 2.0, 3.0, 2.0, 5.0, 2000, 2000, 2000, 1200.0, 10.0, 2000, 2000, 2000, 1200.0, 1.0, 1.0, 3484339.28, 21790.0, 4212000.0 
-103.368738, 20.6677694, 122.53, 2.0, 2.0, 0.96, 0.98, 0.98, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 3.0, 2.0, 3.0, 2000, 2000, 2000, 1000.0, 800.0, 50.0, 2000, 2000, 800.0, 1.0, 1.0, 2259756.61, 24895.0, 3050000.0 
-103.4120833, 20.6872778, 207.56, 3.0, 3.0, 0.92, 0.92, 1.0, 4.0, 3.0, 5.0, 5.0, 5.0, 2.0, 5.0, 2.0, 5.0, 1500.0, 2000.0, 2000.0, 2000, 1000.0, 2000, 1000.0, 1000.0, 500.0, 1.0, 1.0, 3768800.0, 22179.0, 4603000.0 
-103.3915278, 20.6954722, 121.4, 2.0, 2.0, 0.92, 0.92, 1.0, 3.0, 3.0, 5.0, 4.0, 5.0, 2.0, 5.0, 2.0, 5.0, 1500.0, 2000.0, 2000.0, 2000, 1000.0, 2000, 1000.0, 1000.0, 500.0, 1.2, 1.0, 1788400.0, 22986.0, 2791000.0 
-103.368861, 20.66775, 142.81, 2.0, 3.0, 0.96, 0.98, 0.98, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 3.0, 2.0, 3.0, 2000, 2000, 2000, 1000.0, 800.0, 50.0, 2000, 2000, 800.0, 1.0, 1.0, 2564233.5, 23890.0, 3412000.0 
-103.387128, 20.690342, 138.95, 2.0, 2.0, 0.93, 0.93, 1.0, 4.0, 3.0, 5.0, 5.0, 5.0, 2.0, 5.0, 2.0, 1.0, 2000, 1050.0, 1050.0, 2000, 400.0, 2000, 400.0, 600.0, 400.0, 1.2, 1.0, 2736800.0, 31704.0, 4405000.0 
-103.3825791, 20.7100391, 142.32, 2.0, 2.0, 1.2, 1.0, 1.0, 3.0, 2.0, 5.0, 5.0, 5.0, 2.0, 4.0, 2.0, 5.0, 900.0, 1200.0, 1200.0, 425.0, 700.0, 425.0, 700.0, 425.0, 375.0, 1.0, 1.0, 2264564.0, 22810.0, 3246000.0 
-103.3730831, 20.6751271, 214.12, 3.0, 3.0, 1.08, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 2.0, 3.0, 1.0, 5.0, 1250.0, 2000, 1100.0, 1200.0, 1250.0, 575.0, 1250.0, 700.0, 430.0, 1.0, 1.0, 4936752.0, 24370.0, 5218000.0 
-103.4121944, 20.71725, 353.76, 3.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 5.0, 2.0, 5.0, 2000.0, 1100.0, 1100.0, 2000, 1500.0, 2000, 1500.0, 1000.0, 500.0, 1.2, 1.0, 6656000.0, 28596.0, 10116000.0 
-103.381558, 20.704792, 253.0, 3.0, 3.0, 0.84, 0.84, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 3.0, 4.0, 2.0, 5.0, 800.0, 950.0, 950.0, 820.0, 130.0, 820.0, 130.0, 820.0, 850.0, 1.0, 1.0, 5640023.67, 24741.04, 6259000.0 
