LONGITUD, LATITUD, SUPERFICIE_VENDIBLE, NUMERO_ESTACIONAMIENTOS, NUMERO_RECAMARAS, FACTOR_RESULTANTE_PRIVATIVAS, FACTOR_EDAD_PRIVATIVAS, FACTOR_CONSERVACION_PRIVATIVAS, CVE_NIVEL_INFRAESTR_URBANA, CVE_NIVEL_EQUIPAMIENTO_URBANO, CVE_CLASE_INMUEBLE, CVE_CLASE_GENERAL_INMUEBLES_ZONA, CVE_NIVEL_SOCIO_ECONOMICO_ZONA, CVE_CLASIFICACION_ZONA, CVE_DENSIDAD_POBLACION, CVE_REF_PROXIMIDAD_URBANA, CVE_UBICACION_INMUEBLE_TERRENO, DISTANCIA_UNIVERSIDAD, DISTANCIA_CENTRO_DEPORTIVO, DISTANCIA_CANCHAS_DEPORTIVAS, DISTANCIA_MERCADOS, DISTANCIA_PARQUES, DISTANCIA_PLAZASPUBLICAS, DISTANCIA_JARDINES, DISTANCIA_SUPERMERCADOS, DISTANCIA_IGLESIA, FZO, FFR, IMPORTE_TOTAL_ENFOQUE_DE_COSTOS, VALOR_COMPARATIVO_INMUEBLE_M2, IMPORTE_VALOR_CONCLUIDO 
-100.3503401, 25.7265881, 84.27, 2.0, 2.0, 0.96, 0.96, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 5.0, 2000, 1300.0, 2000, 700.0, 300.0, 2000, 300.0, 700.0, 100.0, 1.2, 1.0, 987146.05, 12924.73, 1089000.0 
-100.373736, 25.72681, 43.57, 1.0, 1.0, 0.04, 0.96, 1.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 5.0, 3000.0, 3000.0, 2000.0, 1000.0, 20.0, 20.0, 10.0, 1000.0, 2000.0, 1.0, 1.0, 582552.33, 4700.0, 785000.0 
-100.4576, 25.663734, 78.0, 2.0, 2.0, 0.1, 0.9, 1.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0, 5.0, 650.0, 800.0, 300.0, 50.0, 300.0, 300.0, 300.0, 350.0, 50.0, 1.0, 1.0, 494074.69, 1800.0, 523000.0 
-100.3472758, 25.7264621, 81.35, 0.0, 2.0, 0.94, 0.94, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 1.0, 1.0, 2000, 2000, 2000, 231.0, 241.0, 2000, 241.0, 1457.0, 99.0, 1.0, 1.0, 843713.26, 13720.0, 1116000.0 
-100.3765181, 25.6847151, 135.99, 6.0, 3.0, 0.94, 0.94, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 5.0, 2000, 1420.0, 770.0, 1020.0, 170.0, 1980.0, 170.0, 1020.0, 730.0, 1.0, 1.0, 2828846.58, 17811.82, 2974072.77 
-100.3477278, 25.7264278, 78.85, 2.0, 2.0, 0.93, 0.93, 1.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 5.0, 2.0, 1.0, 2000, 150.0, 150.0, 1500.0, 180.0, 180.0, 180.0, 1500.0, 450.0, 1.0, 1.0, 950220.0, 14480.0, 1142000.0 
-100.3467031, 25.7265951, 78.85, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 2000.0, 2000, 2000, 1200.0, 500.0, 2000, 500.0, 1200.0, 800.0, 1.0, 1.0, 840620.78, 13063.89, 1030000.0 
-100.375981, 25.698309, 128.8, 2.0, 3.0, 0.91, 0.91, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 2.0, 4.0, 2000, 1800.0, 500.0, 2000, 20.0, 2000, 20.0, 600.0, 1500.0, 1.0, 1.0, 1949708.85, 16365.07, 2110000.0 
-100.37827, 25.71454, 102.14, 1.0, 3.0, 0.59, 0.46, 0.9, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 5.0, 2000, 2000, 150.0, 2000.0, 150.0, 150.0, 150.0, 2000.0, 600.0, 1.0, 1.0, 720587.0, 6000.0, 848000.0 
-100.3419333, 25.6839694, 139.14, 1.0, 3.0, 0.88, 0.96, 0.92, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 2.0, 5.0, 1000.0, 2000, 150.0, 1000.0, 50.0, 50.0, 50.0, 2000.0, 1000.0, 1.0, 1.0, 1719360.32, 13367.08, 1860000.0 
-100.3537291, 25.6926191, 131.99, 0.0, 2.0, 0.55, 0.57, 0.97, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 1.0, 475.0, 1045.0, 845.0, 2000, 70.0, 70.0, 70.0, 1395.0, 525.0, 1.0, 1.0, 1003469.94, 7660.0, 1011000.0 
-100.38235, 25.65119, 113.3, 1.0, 2.0, 0.37, 0.63, 1.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 1.0, 2000.0, 1000.0, 1000.0, 2000.0, 500.0, 500.0, 500.0, 2000.0, 2000.0, 1.0, 1.0, 1800020.25, 9500.0, 1801000.0 
-100.3785611, 25.6954833, 144.26, 2.0, 2.0, 0.91, 0.91, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 1.0, 5.0, 2000, 2000, 2000, 50.0, 20.0, 20.0, 20.0, 5.0, 1200.0, 1.0, 1.0, 1973093.15, 15600.0, 2250456.0 
