@RELATION avaluosfiltros_cubo_nuevo_leon_departamentos_media2
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE VALOR_COMPARATIVO_INMUEBLE_M2 NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-100.303058, 25.6969472, 76.49, 1.0, 3.0, 0.94, 0.96, 0.98, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 1.0, 5.0, 2000, 2000, 2000, 300.0, 150.0, 150.0, 150.0, 300.0, 500.0, 1.0, 1.0, 800472.62, 11200.0, 857000.0 
-100.306669, 25.6969472, 97.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 1.0, 5.0, 2000, 2000, 2000, 300.0, 150.0, 150.0, 10.0, 500.0, 500.0, 1.0, 1.0, 1292327.32, 14400.0, 1397000.0 
-100.290317, 25.6440756, 144.76, 2.0, 2.0, 0.99, 0.99, 1.0, 3.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 1.0, 5.0, 1400.0, 650.0, 650.0, 200.0, 190.0, 190.0, 270.0, 2000, 450.0, 1.0, 1.0, 2244644.29, 19300.0, 2794000.0 
-100.2805013, 25.6228666, 100.9, 0.0, 3.0, 0.72, 0.72, 1.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 5.0, 2.0, 1.0, 744.0, 1861.0, 424.0, 2000, 424.0, 433.0, 424.0, 551.0, 238.0, 1.0, 1.0, 766873.54, 11810.0, 1192000.0 
-100.30772, 25.69721, 97.0, 1.0, 2.0, 0.0, 1.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 1.0, 4.0, 1250.0, 200.0, 200.0, 350.0, 200.0, 200.0, 200.0, 350.0, 2000.0, 1.0, 1.0, 1011662.5, 5000.0, 1384000.0 
-100.30424, 25.69674, 65.37, 1.0, 2.0, 0.1, 0.9, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 1.0, 5.0, 1000.0, 500.0, 100.0, 600.0, 100.0, 100.0, 100.0, 600.0, 1000.0, 1.0, 1.0, 700567.02, 4500.0, 800000.0 
-100.3145611, 25.7031528, 77.88, 1.0, 2.0, 0.91, 0.93, 0.98, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 2.0, 5.0, 1300.0, 700.0, 600.0, 2000.0, 2000.0, 400.0, 400.0, 700.0, 1000.0, 1.0, 1.0, 913932.9, 12261.54, 955000.0 
-100.306669, 25.6969472, 97.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 1.0, 5.0, 2000, 2000, 2000, 300.0, 150.0, 150.0, 10.0, 500.0, 500.0, 1.0, 1.0, 1291202.32, 14400.0, 1397000.0 
-100.2750222, 25.6013389, 106.11, 2.0, 2.0, 0.87, 0.87, 1.0, 3.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 1500.0, 1500.0, 1500.0, 1450.0, 15.0, 150.0, 15.0, 1450.0, 340.0, 1.0, 1.0, 1522330.0, 14300.0, 1517000.0 
-100.3095278, 25.6978889, 67.35, 1.0, 2.0, 0.9, 0.98, 0.92, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 2.0, 5.0, 1000.0, 2000, 2000, 1000.0, 50.0, 50.0, 50.0, 2000.0, 1000.0, 1.0, 1.0, 866241.14, 14350.35, 966000.0 
