NOMBRE_CLUSTER, NUM_AVALUOS, NUM_ATT, NUM_ATT_FILT, PROMEDIO_IMP_CONCLUIDO, DSVEST_IMP_CONCLUIDO, DSVEST_LAT, DSVEST_LONG, LR_ERROR_ABS_PROM, MSV_ERROR_ABS_PROM, RNA_ERROR_ABS_PROM, LR_ERROR_ABS_PROM_FILT, MSV_ERROR_ABS_PROM_FILT, RNA_ERROR_ABS_PROM_FILT, LR_ERROR_REL_ABS, MSV_ERROR_REL_ABS, RNA_ERROR_REL_ABS, LR_ERROR_REL_ABS_FILT, MSV_ERROR_REL_ABS_FILT, RNA_ERROR_REL_ABS_FILT, MEJOR_ATT_FILT, MEJOR_ALG
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_1_de_72, 31, 29, 10, 3150451, 2106572, 760, 725, 1938794, 1496389, 1036009, 481957, 589281, 581818, 140, 108, 75, 34, 42, 42, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_2_de_72, 9, 29, 11, 2185111, 897361, 636, 539, 476367, 189776, 164920, 814611, 399088, 392646, 58, 23, 20, 100, 48, 48, NO, REDES_NEURONALES
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_3_de_72, 13, 29, 11, 1332384, 392062, 884, 1227, 341954, 322298, 316130, 465754, 384133, 454352, 107, 101, 99, 146, 121, 143, NO, REDES_NEURONALES
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_4_de_72, 10, 29, 12, 1854800, 1179932, 556, 651, 962537, 209065, 227923, 1146172, 395398, 428965, 90, 19, 21, 107, 37, 40, NO, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_6_de_72, 26, 29, 13, 1316193, 429193, 1060, 1064, 363532, 232015, 239462, 151098, 116097, 248912, 100, 63, 65, 41, 31, 68, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_8_de_72, 25, 29, 14, 1787400, 657941, 1083, 949, 613975, 688979, 666520, 415062, 431877, 428529, 120, 134, 130, 81, 84, 83, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_11_de_72, 11, 29, 8, 1081363, 392211, 462, 968, 272589, 273035, 273062, 523405, 298048, 389650, 91, 91, 91, 175, 99, 130, NO, REG_LIN
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_12_de_72, 7, 29, 6, 3477285, 748762, 1279, 759, 511047, 394033, 385314, 502480, 628486, 631856, 65, 50, 49, 64, 80, 81, NO, REDES_NEURONALES
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_13_de_72, 10, 29, 16, 1490900, 988266, 497, 270, 546989, 638670, 706530, 736473, 329249, 417534, 74, 86, 95, 99, 44, 56, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_14_de_72, 12, 29, 9, 3450600, 1891359, 839, 868, 1831064, 1400224, 1361242, 983549, 467472, 722254, 118, 90, 88, 63, 30, 46, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_16_de_72, 49, 29, 18, 2981184, 993540, 746, 915, 364692, 273197, 484306, 334853, 311113, 534816, 44, 33, 59, 40, 37, 65, NO, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_17_de_72, 22, 29, 10, 3484590, 1146902, 648, 627, 802870, 587878, 538577, 270259, 187765, 432207, 89, 65, 60, 30, 20, 48, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_18_de_72, 33, 29, 14, 2648181, 935632, 787, 513, 407586, 332126, 285987, 299235, 304436, 443201, 57, 46, 40, 41, 42, 62, NO, REDES_NEURONALES
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_19_de_72, 33, 29, 8, 3293121, 1331027, 518, 530, 534004, 408414, 715261, 423632, 354814, 409608, 58, 45, 78, 46, 39, 45, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_20_de_72, 24, 29, 16, 2155041, 960962, 1010, 607, 684697, 413797, 357256, 338100, 234349, 432616, 98, 59, 51, 48, 33, 62, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_21_de_72, 14, 29, 20, 3378285, 1300030, 894, 698, 930960, 479408, 619046, 1002881, 307123, 296904, 86, 44, 57, 93, 28, 27, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_22_de_72, 18, 29, 18, 2893033, 1525866, 817, 706, 1214889, 1380455, 1107857, 1059159, 1229439, 1048209, 114, 130, 104, 100, 116, 98, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_23_de_72, 10, 29, 9, 1406200, 358212, 791, 949, 253074, 375405, 462114, 354453, 252981, 343168, 83, 123, 152, 116, 83, 113, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_24_de_72, 8, 29, 15, 1825875, 673165, 1019, 634, 468149, 615518, 557143, 566721, 670209, 670311, 87, 115, 104, 106, 125, 125, NO, REG_LIN
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_26_de_72, 13, 29, 17, 3041307, 802807, 636, 628, 555139, 481499, 618127, 779122, 651107, 742630, 81, 70, 90, 113, 95, 108, NO, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_27_de_72, 23, 29, 16, 2525565, 1035240, 463, 701, 890710, 457487, 382291, 391539, 440337, 290670, 91, 47, 39, 40, 45, 30, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_28_de_72, 12, 29, 19, 3970166, 948690, 621, 857, 1046955, 873243, 775128, 1039633, 790763, 679734, 111, 92, 82, 110, 83, 72, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_29_de_72, 44, 29, 15, 2850250, 1200796, 573, 828, 251657, 323900, 359314, 261638, 295099, 313679, 25, 32, 35, 26, 29, 31, SI, REG_LIN
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_30_de_72, 7, 29, 9, 3332000, 800616, 347, 705, 508430, 695992, 578384, 758953, 211180, 254923, 60, 83, 69, 90, 25, 30, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_33_de_72, 16, 29, 15, 1319062, 955362, 913, 1020, 599408, 230444, 142960, 575066, 280883, 195603, 75, 28, 17, 72, 35, 24, NO, REDES_NEURONALES
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_34_de_72, 25, 29, 15, 3406840, 871143, 494, 467, 479888, 423211, 603584, 430215, 407046, 347284, 67, 59, 84, 60, 57, 48, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_37_de_72, 39, 29, 14, 2030307, 765481, 758, 1227, 176722, 180319, 251379, 199724, 255350, 368299, 28, 28, 40, 32, 40, 59, NO, REG_LIN
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_38_de_72, 16, 29, 10, 2875125, 957716, 552, 651, 709794, 383241, 383857, 619081, 400699, 269982, 85, 46, 46, 74, 48, 32, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_39_de_72, 8, 29, 11, 1821125, 1224225, 469, 760, 766534, 744658, 814348, 793653, 443031, 488296, 71, 69, 75, 73, 41, 45, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_40_de_72, 13, 29, 14, 2087000, 799546, 631, 596, 555260, 613005, 591377, 764331, 504697, 490677, 77, 85, 82, 106, 70, 68, NO, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_42_de_72, 28, 29, 17, 4137857, 1799228, 856, 810, 1332201, 521739, 565153, 553664, 406173, 431538, 94, 37, 40, 39, 28, 30, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_44_de_72, 8, 29, 17, 2589250, 1010331, 825, 688, 936807, 544076, 519773, 913571, 578747, 529591, 96, 56, 53, 94, 59, 54, NO, REDES_NEURONALES
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_45_de_72, 48, 29, 17, 1914854, 899084, 730, 609, 250963, 280352, 261128, 177581, 276706, 236627, 32, 36, 34, 23, 36, 31, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_46_de_72, 19, 29, 10, 1571289, 560852, 1213, 798, 306811, 219338, 257159, 312023, 267127, 308339, 66, 47, 56, 68, 58, 67, NO, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_47_de_72, 15, 29, 17, 2026866, 790914, 604, 665, 701106, 886097, 738320, 612128, 874084, 534523, 114, 144, 120, 100, 142, 87, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_48_de_72, 28, 29, 14, 4432464, 1128292, 1041, 647, 978391, 605702, 752704, 490832, 674943, 851485, 119, 74, 92, 60, 82, 104, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_49_de_72, 39, 29, 16, 1442051, 666240, 928, 807, 229515, 221933, 178619, 207104, 176083, 202307, 44, 42, 34, 39, 33, 38, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_50_de_72, 19, 29, 12, 1577894, 727169, 435, 541, 248784, 187821, 227653, 186109, 127446, 117097, 47, 35, 43, 35, 24, 22, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_51_de_72, 25, 29, 11, 3920800, 1395407, 511, 1005, 708346, 360463, 371971, 455665, 362024, 320777, 62, 31, 33, 40, 32, 28, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_52_de_72, 18, 29, 14, 2577154, 1321659, 904, 631, 847347, 851812, 767618, 1017900, 889754, 851916, 86, 86, 78, 103, 90, 86, NO, REDES_NEURONALES
