NOMBRE_CLUSTER, NUM_AVALUOS, NUM_ATT, NUM_ATT_FILT, PROMEDIO_IMP_CONCLUIDO, DSVEST_IMP_CONCLUIDO, DSVEST_LAT, DSVEST_LONG, LR_ERROR_ABS_PROM, MSV_ERROR_ABS_PROM, RNA_ERROR_ABS_PROM, LR_ERROR_ABS_PROM_FILT, MSV_ERROR_ABS_PROM_FILT, RNA_ERROR_ABS_PROM_FILT, LR_ERROR_REL_ABS, MSV_ERROR_REL_ABS, RNA_ERROR_REL_ABS, LR_ERROR_REL_ABS_FILT, MSV_ERROR_REL_ABS_FILT, RNA_ERROR_REL_ABS_FILT, MEJOR_ATT_FILT, MEJOR_ALG
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_1_de_17, 9, 29, 12, 7864865, 4193699, 1585, 1198, 2507777, 1642989, 1485902, 2508392, 601082, 1415938, 62, 40, 37, 62, 14, 35, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_2_de_17, 7, 29, 16, 6859428, 1295742, 1373, 773, 937008, 1079521, 1104481, 930132, 1080360, 1113330, 81, 94, 96, 81, 94, 97, NO, REG_LIN_FILT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_3_de_17, 11, 29, 9, 6058062, 3207356, 1907, 1100, 1815490, 1033818, 1364738, 1420378, 1315259, 1086378, 59, 33, 44, 46, 42, 35, SI, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_4_de_17, 15, 29, 6, 3724000, 975152, 802, 636, 487884, 338088, 480272, 553275, 428804, 602180, 63, 43, 62, 71, 55, 78, NO, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_5_de_17, 29, 29, 16, 5768344, 1833898, 726, 1310, 1841874, 1227250, 995861, 609080, 759975, 979187, 128, 85, 69, 42, 53, 68, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_6_de_17, 22, 29, 19, 5300272, 1798257, 965, 1263, 1437476, 990401, 1116064, 686095, 846202, 959270, 99, 68, 77, 47, 58, 66, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_7_de_17, 8, 29, 9, 6587500, 2388732, 1098, 975, 3231142, 2926200, 2679201, 2042971, 1627901, 2409863, 146, 132, 121, 92, 73, 109, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_8_de_17, 8, 29, 15, 4783000, 1738323, 1239, 839, 1102022, 1016174, 1217869, 1672408, 1273009, 1348159, 68, 63, 75, 103, 78, 83, NO, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_9_de_17, 25, 29, 10, 8900788, 3926510, 1203, 1006, 3107255, 1252085, 1292501, 1321743, 1312480, 2246490, 100, 40, 41, 42, 42, 72, SI, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_10_de_17, 12, 29, 8, 5123333, 3056000, 1202, 1179, 1141785, 1808523, 1768743, 851345, 735565, 902452, 46, 73, 72, 34, 30, 36, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_12_de_17, 16, 29, 18, 4322937, 1133049, 956, 1190, 764570, 627077, 679213, 646631, 681512, 677151, 76, 62, 68, 64, 68, 67, SI, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_13_de_17, 24, 29, 10, 8209041, 3721691, 1227, 1415, 2334433, 1591641, 1087090, 769351, 924021, 1512067, 78, 53, 36, 25, 31, 50, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_15_de_17, 14, 29, 18, 4278500, 1368251, 1847, 1784, 850069, 436253, 529322, 526183, 509006, 648021, 85, 43, 53, 52, 50, 64, SI, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_16_de_17, 21, 29, 9, 5935904, 1981972, 756, 803, 1277215, 878661, 877982, 649147, 739308, 1203642, 75, 51, 51, 38, 43, 71, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_17_de_17, 29, 29, 17, 5536517, 1420557, 898, 938, 1006776, 502825, 790253, 587042, 352763, 722847, 84, 42, 66, 49, 29, 60, SI, MAQ_SOP_VECT_FILT
