@RELATION avaluosinmuebles_casas_nivel_semilujo_entidad_cdmx_9_de_17
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE GRADO_TERMINACION_OBRA NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE VALOR_COMPARATIVO_INMUEBLE_M2 NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.1965527, 19.3384666, 09, 010, 2, 3, 4.0, 5.0, 1.0, 0.84, 0.92, 0.92, 5.0, 5.0, 3.0, 3.0, 2, 5, 2000, 2000, 2000, 500.0, 500.0, 1000.0, 2000, 2000, 300.0, 2.0, 3.0, 282.65, 1.00, 1.00, 100.0, 7570342.75, 26900.0, 7603000.0 
-99.216291, 19.331176, 09, 008, 3, 3, 4.0, 5.0, 1.0, 0.75, 0.75, 1.0, 5.0, 5.0, 3.0, 3.0, 2, 5, 2000.0, 2000.0, 1000.0, 1000.0, 1000.0, 2000.0, 2000.0, 500.0, 1000.0, 4.0, 3.0, 398.08, 1.00, 1.00, 100.0, 5203371.14, 23542.29, 9372000.0 
-99.197045, 19.327163, 09, 010, 2, 3, 4.0, 5.0, 1.0, 0.6, 0.6, 1.0, 5.0, 5.0, 2.0, 4.0, 2, 5, 1000.0, 2000.0, 2000, 2000.0, 2000.0, 2000.0, 2000.0, 1000.0, 2000.0, 5.0, 5.0, 630.85, 1.00, 1.00, 100.0, 13579248.88, 22830.56, 14403000.0 
-99.2095277, 19.3196944, 09, 010, 3, 3, 4.0, 5.0, 1.0, 0.68, 0.7, 0.98, 5.0, 5.0, 3.0, 4.0, 2, 5, 400.0, 1000.0, 500.0, 2000.0, 400.0, 500.0, 1500.0, 300.0, 550.0, 3.0, 3.0, 475.22, 1.00, 1.00, 100.0, 6912984.53, 26000.0, 12355720.0 
-99.20989, 19.345908, 09, 010, 3, 3, 4.0, 5.0, 1.0, 0.9, 0.9, 1.0, 5.0, 5.0, 3.0, 3.0, 2, 4, 2000.0, 1700.0, 700.0, 450.0, 700.0, 800.0, 100.0, 900.0, 1000.0, 3.0, 3.0, 335.0, 1.20, 1.00, 100.0, 5954015.03, 22602.9, 7571000.0 
-99.2134056, 19.34185, 09, 010, 3, 4, 4.0, 5.0, 1.0, 0.9, 0.9, 1.0, 4.0, 5.0, 3.0, 4.0, 2, 5, 2000, 1000.0, 1000.0, 1700.0, 650.0, 800.0, 50.0, 550.0, 900.0, 2.0, 4.0, 224.81, 1.20, 1.00, 100.0, 4194954.58, 24810.81, 5578000.0 
-99.2048791, 19.3476721, 09, 010, 2, 3, 4.0, 5.0, 1.0, 0.8, 0.6, 1.0, 5.0, 5.0, 3.0, 4.0, 3, 5, 1950.0, 750.0, 850.0, 1600.0, 560.0, 1700.0, 650.0, 1950.0, 750.0, 4.0, 4.0, 482.67, 1.00, 1.00, 100.0, 8337622.33, 17465.43, 8430000.0 
-99.1932808, 19.340828, 09, 010, 3, 3, 4.0, 5.0, 1.0, 0.76, 0.83, 0.92, 5.0, 5.0, 3.0, 4.0, 2, 4, 2000, 2000, 2000, 1200.0, 900.0, 1500.0, 2000, 2000, 800.0, 2.0, 3.0, 170.0, 1.00, 1.00, 100.0, 3558274.23, 23360.0, 3971000.0 
-99.202365, 19.318052, 09, 010, 2, 3, 4.0, 5.0, 1.0, 0.97, 0.97, 1.0, 5.0, 5.0, 2.0, 3.0, 2, 5, 1000.0, 1500.0, 1500.0, 1000.0, 2000.0, 2000.0, 2000.0, 1200.0, 1000.0, 6.0, 3.0, 669.2, 1.20, 1.00, 100.0, 16870297.62, 25209.11, 17427000.0 
-99.215351, 19.34505, 09, 010, 3, 3, 4.0, 5.0, 1.0, 0.83, 0.83, 1.0, 5.0, 5.0, 3.0, 4.0, 3, 5, 2000, 750.0, 750.0, 350.0, 350.0, 750.0, 350.0, 750.0, 650.0, 4.0, 3.0, 428.65, 1.20, 1.00, 100.0, 7446662.57, 28732.07, 12316000.0 
