NOMBRE_CLUSTER, NUM_AVALUOS, NUM_ATT, NUM_ATT_FILT, PROMEDIO_IMP_CONCLUIDO, DSVEST_IMP_CONCLUIDO, DSVEST_LAT, DSVEST_LONG, LR_ERROR_ABS_PROM, MSV_ERROR_ABS_PROM, RNA_ERROR_ABS_PROM, LR_ERROR_ABS_PROM_FILT, MSV_ERROR_ABS_PROM_FILT, RNA_ERROR_ABS_PROM_FILT, LR_ERROR_REL_ABS, MSV_ERROR_REL_ABS, RNA_ERROR_REL_ABS, LR_ERROR_REL_ABS_FILT, MSV_ERROR_REL_ABS_FILT, RNA_ERROR_REL_ABS_FILT, MEJOR_ATT_FILT, MEJOR_ALG
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_1_de_52, 23, 29, 10, 3602826, 1367785, 337, 469, 724787, 532330, 680161, 480506, 393161, 504020, 64, 47, 60, 42, 35, 44, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_2_de_52, 14, 29, 10, 3905357, 948575, 164, 264, 869586, 575466, 671138, 464370, 605630, 811932, 132, 87, 102, 70, 92, 123, SI, REG_LIN_FILT
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_4_de_52, 9, 29, 9, 4485111, 882137, 148, 351, 617891, 627041, 672861, 818611, 427069, 563563, 75, 76, 82, 100, 52, 68, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_6_de_52, 10, 29, 16, 1263600, 181215, 54, 750, 160577, 48489, 2147483647, 160577, 48489, 33885, 100, 30, 2147483647, 100, 30, 21, SI, REDES_NEURONALES_FILT
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_7_de_52, 14, 29, 13, 3033500, 422534, 666, 1414, 349046, 232941, 226762, 228466, 170947, 213899, 100, 66, 64, 65, 48, 61, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_8_de_52, 12, 29, 6, 1410583, 167813, 128, 281, 155734, 42936, 34969, 47666, 31600, 52645, 100, 27, 22, 30, 20, 33, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_10_de_52, 8, 29, 9, 1961625, 304704, 112, 122, 101071, 121588, 123053, 264121, 93369, 66963, 36, 43, 44, 94, 33, 24, NO, REDES_NEURONALES_FILT
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_13_de_52, 58, 29, 11, 4017836, 1669654, 536, 687, 712290, 304996, 294012, 369055, 518214, 310859, 65, 28, 27, 34, 47, 28, SI, REDES_NEURONALES
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_15_de_52, 9, 29, 9, 3767111, 1685762, 144, 287, 216919, 233142, 262766, 1478139, 247899, 343189, 13, 14, 16, 91, 15, 21, NO, REG_LIN
avaluosinmuebles_departamentos_nivel_semilujo_entidad_cdmx_16_de_52, 13, 29, 4, 3290307, 4343821, 209, 256, 2848835, 2157375, 2888041, 1663597, 1339651, 1653988, 100, 75, 101, 58, 47, 58, SI, MAQ_SOP_VECT_FILT
