Fecha_hora_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,promedio_IMPORTE_VALOR_CONCLUIDO,promedio_VALOR_FISICO_CONSTRUCCION,promedio_VALOR_FISICO_TERRENO,promedio_VALOR_FISICO_TERRENO_M2,promedio_regresion_IMPORTE_VALOR_CONCLUIDO,promedio_regresion_VALOR_FISICO_CONSTRUCCION,promedio_regresion_VALOR_FISICO_TERRENO,promedio_regresion_VALOR_FISICO_TERRENO_M2,error_promedio_IMPORTE_VALOR_CONCLUIDO,error_promedio_VALOR_FISICO_CONSTRUCCION,error_promedio_VALOR_FISICO_TERRENO,error_promedio_VALOR_FISICO_TERRENO_M2,error_min_IMPORTE_VALOR_CONCLUIDO,error_max_IMPORTE_VALOR_CONCLUIDO,error_min_VALOR_FISICO_CONSTRUCCION,error_max_VALOR_FISICO_CONSTRUCCION,error_min_VALOR_FISICO_TERRENO,error_max_VALOR_FISICO_TERRENO,error_min_VALOR_FISICO_TERRENO_M2,error_max_VALOR_FISICO_TERRENO_M2,desviacion_std_error_IMPORTE_VALOR_CONCLUIDO,desviacion_std_error_VALOR_FISICO_CONSTRUCCION,desviacion_std_error_VALOR_FISICO_TERRENO,desviacion_std_error_VALOR_FISICO_TERRENO_M2
"Friday, 30. September 2016 11:41PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold0_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,99.1989381313324,371,41,500,45,1,50,4,3224317.8381940704,1150514.6261994608,923130.22210242576,24214.74086253369,3318613.8066972187,1187246.9391229523,775553.91439107805,25894.339736419417,880294.25851105375,399502.33716901904,346366.50401868945,4243.0024370752044,178.87984360381961,5319409.0864338819,645.11371433897875,1978499.6662856613,2022.0499789841706,3723445.9299789844,41.776913331774267,25073.615923883619,764409.5132934588,327777.3734837896,417778.35823160334,4447.647732854616
"Friday, 30. September 2016 11:43PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold1_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,99.30860686302185,371,41,500,45,1,50,4,3219746.4861725066,1160019.318625337,917217.98805929918,24280.559460916444,2951771.9871570771,986980.66056162876,795623.75570980762,21028.020098491776,884265.10706827603,414656.49117547332,339421.30789424147,4956.9162168132189,1351.6292551467195,4416648.3707448533,3418.6660720594227,2189110.8539279411,1433.5956525926013,3697796.8143474073,32.479570716746821,24840.459570716746,744348.3203709021,351027.7845787805,414831.00648943003,4059.2853406304403
"Friday, 30. September 2016 11:44PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold2_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,106.47208881378174,371,41,500,45,1,50,4,3210408.8354986524,1144469.1744474394,919846.10676549864,24326.994420485174,2565707.7350763474,728423.82518812013,915890.37123602326,27382.149920407945,978874.88873832778,508680.15490402235,355893.78302133986,4637.398903959951,391.39327820856124,5982308.6624710718,1966.2207225809107,2410957.3967283163,42.964656577329151,3592209.5446565775,31.508275087642687,26557.948275087641,853159.9275272775,404562.6457024274,408122.4355407394,4447.578680997336
"Friday, 30. September 2016 11:46PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold3_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,110.99529099464417,371,41,500,45,1,50,4,3222498.9702695417,1150123.4795148247,929538.32703504036,24134.770431266847,3227108.929266992,1176959.4456764737,934819.60053038981,26650.573016484403,900988.96256642649,414796.98962519848,365527.33828076994,4485.4560808123588,932.63045737380162,5431927.0010324568,782.95586761273444,1980880.2958676131,790.42179065314122,3566060.9217906529,36.333004651038209,25878.293004651037,776960.3031253119,332074.96776227426,415465.3996250215,4387.855460248022
"Friday, 30. September 2016 11:48PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold4_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,110.18493008613586,371,41,500,45,1,50,4,3217902.7438544477,1147357.0911859837,920807.46684636117,24074.930997304582,3405126.6310810298,1149679.2741025807,1073086.9954424079,23489.279930346795,892047.53584877495,397002.7865024606,405769.23305721534,3999.8567623785539,10321.421203888021,5308678.578796112,163.77852516714483,2025088.6685251673,1816.8558014251757,2917286.1358014252,23.109451054700912,23016.5694510547,756457.8677464015,333626.67099095095,354079.1002738562,3892.006460043492
"Friday, 30. September 2016 11:50PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold5_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,109.31765794754028,371,41,500,45,1,50,4,3263009.7519407007,1169676.2043396228,929032.82159029646,24225.626334231805,4078623.4254947896,1532688.7170380556,1046154.7697902309,25616.591724549216,1156373.0315355151,531678.50176922744,394272.68658926844,4088.7171490911905,8025.8459104793146,4633025.8459104793,1527.9596899673343,1641899.0503100329,6160.0786350594135,3445923.7986350595,1.5091003023153462,25194.189100302316,815031.447325496,345616.392325171,368253.9758171603,4173.246690444734
"Friday, 30. September 2016 11:52PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold6_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,102.32607793807983,371,41,500,45,1,50,4,3207007.8651482482,1146621.5052291106,927761.16927223722,24192.124528301883,2783160.1948003015,988934.30831708596,865227.09783886001,24922.112813640822,933593.05403425335,414154.31142133882,355708.33957302861,4140.1851289358792,5328.9821481667459,5932328.9821481667,5.0431492974748835,2184209.1768507026,602.38215577509254,3627371.257844225,2.621522347395512,24452.121522347396,838532.9019289409,357005.92242175486,431379.51748115174,4373.558274929205
"Friday, 30. September 2016 11:54PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold7_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,125.03153610229492,371,41,500,45,1,50,4,3222159.060916442,1152523.9646091645,924651.64557951479,24207.200485175203,3249897.6175560895,1174884.8333720525,848320.68652376346,25147.924122295957,879678.89835409692,403261.14994580805,347345.15902574058,4040.4008118017732,228.09756614034995,5461771.9024338592,1981.7388379978947,1999398.7588379981,7596.0792208343046,3642487.6107791658,49.779756598185486,24738.780243401812,772082.2392766295,333127.9981433334,424105.8189729822,4091.4177634167
"Friday, 30. September 2016 11:58PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold8_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,281.62642312049866,371,41,500,45,1,50,4,3182158.8085444747,1141565.9579514824,919230.39606468996,24244.44334231806,3434858.3295016014,1319265.9071983111,877417.30064653407,23704.323726298131,900063.21914285095,434080.38902990811,349486.14027472469,4053.3241749502745,1375.7959143621847,5247624.2040856378,2137.4743338262197,1832998.745666174,938.04632269311696,3626171.0463226931,0.58209157253077137,22817.143252297625,748036.0202245307,327604.7997266582,426461.1243280314,4209.622526214068
"Saturday, 01. October 2016 12:03AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold9_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,301.0867431163788,371,41,500,45,1,50,4,3198000.5875202157,1137173.0652021563,916147.1976280323,24483.174716981131,2844245.9022677778,965726.07281960279,1017067.0033114934,26622.28577068579,906790.31845211715,412180.40863517387,390370.02501674514,4295.3467290314502,2014.1431839102879,5871185.8568160897,3528.2163829770871,2207497.8936170232,4790.2839196220739,3475856.6639196221,31.349099744940759,26156.339099744939,797688.5415750804,347519.34032719646,380913.4338040386,4264.411011786351
"Saturday, 01. October 2016 02:23AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold0_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,121.50418090820312,371,41,500,45,1,35,4,3178031.4770080862,1137995.8075741241,916925.65064690018,24142.323126684638,2606652.6639538785,903970.58852497558,801669.98176733265,20920.815093714351,959073.59313218854,427927.33358080313,343747.33936576277,5246.4303141193341,4347.3360461215489,6112347.336046122,5.9714750244747847,2246979.4114750242,80.158232667366974,3692767.0182326674,61.274906285649195,25010.40490628565,834553.882003016,355867.17685097473,444210.0336512895,4395.551186186125
"Saturday, 01. October 2016 02:24AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold1_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,111.24081802368164,371,41,500,45,1,35,4,3238759.8867115905,1158562.1879514826,942736.930458221,24357.576846361186,3692593.9906327762,1258764.3287582891,902291.57080884138,24608.727281637268,998642.02065592329,424923.25580664811,358128.2176978612,4046.3759320705535,3732.2881063111126,5022732.2881063111,1375.9129305819515,1914355.3070694183,1659.8446833002381,3590506.7353166998,2.4438403649473912,24141.903840364947,783248.7936839992,329702.04517552216,423607.0401363782,4111.84532487083
"Saturday, 01. October 2016 02:26AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold2_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,114.87349390983582,371,41,500,45,1,35,4,3195425.1923719672,1133615.2629919138,924879.85738544469,24265.83409703504,2559996.9214328625,868979.63047381537,854790.64181907638,25088.633710518225,985506.39507784264,434988.50956853572,353517.0910053312,3972.4287015290683,4448.9555826429278,6053846.190119829,103.57568714045919,2290203.4256871408,86.704106905031949,3651653.7158930949,40.418664349821483,24233.21583299616,867569.1258977364,378857.9153806457,419955.26708622795,3883.7032127420803
"Saturday, 01. October 2016 02:28AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold3_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,100.89249610900879,371,41,500,45,1,35,4,3217333.3638005392,1151496.1963342316,926408.38795148255,24291.37708894879,3184398.1830751677,1083512.8842374915,815289.66849598661,26575.048085056682,879035.86219247722,402358.00656471011,352204.86053667124,4289.9252952998031,2414.2488806545734,5422752.8160636034,2480.3834666828625,2080815.8365333173,787.2554750922136,3695814.8581961766,8.3345927243717597,25626.794592724371,776051.5131431677,340326.4621473338,439884.89020584937,4218.498471475733
"Saturday, 01. October 2016 02:30AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold4_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,98.84602308273315,371,41,500,45,1,35,4,3205568.5120485178,1144890.5246361187,927118.56649595697,24101.65358490566,3221093.0773638864,1034275.4988787711,942538.40188742394,22637.311229578885,883525.52259297029,402398.88939622341,362046.61438890896,4301.22119911354,1082.8792707854882,5491082.8792707855,2158.4327772440156,2142384.5127772442,2679.7754453676753,3039787.6145546325,1.0207855997432489,23000.349214400259,759187.2903082903,346750.429515887,376542.33847353223,4262.178451486106
