@RELATION avaluos 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.2395391, 19.3383141, 09, 010, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.82, 0.92, 4.0, 4.0, 3.0, 4.0, 3, 5, 1.0, 0.832259672167, 0.832259672167, 0.68720270779, 0.832259672167, 0.832259672167, 0.832259672167, 0.68720270779, 0.805374906948, 1.0, 1.0, 105.84, 1.00, 1.00, 3309437.70, 3715000.0 
-99.2730421, 19.3326671, 09, 010, 2, 3, 3.0, 4.0, 1.0, 0.94, 0.94, 1.0, 4.0, 4.0, 3.0, 3.0, 2, 1, 1.0, 0.881110890011, 0.881110890011, 0.748747963665, 0.881110890011, 0.881110890011, 0.881110890011, 0.748747963665, 0.805374906948, 1.0, 1.0, 115.07, 0.90, 1.00, 0, 1378000.0 
-99.2183958, 19.3763119, 09, 010, 2, 3, 3.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 5.0, 3, 5, 1.0, 1.0, 0.832259672167, 0.832259672167, 0.832259672167, 1.0, 0.832259672167, 1.0, 0.805374906948, 1.0, 3.0, 93.06, 1.00, 1.00, 642025.95, 940000.0 
-99.13078, 19.22089, 09, 010, 2, 3, 4.0, 4.0, 1.0, 0.83, 0.83, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.84374282636, 1.0, 1.0, 0.694978433228, 0.736053925634, 0.8208969397, 1.0, 0.772705898454, 0.704041496028, 2.0, 4.0, 196.93, 1.00, 1.00, 1094453.59, 3000000.0 
-99.208401, 19.377321, 09, 010, 2, 3, 3.0, 4.0, 1.0, 0.97, 0.97, 1.0, 3.0, 4.0, 3.0, 4.0, 2, 1, 1.0, 0.895479976857, 0.737385231199, 0.835234685732, 0.737385231199, 0.905068824799, 0.737385231199, 0.818894423889, 0.829825611044, 2.0, 4.0, 165.75, 0.80, 1.00, 1536925.89, 1580000.0 
-99.2173684, 19.3528284, 09, 010, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 6.0, 1, 5, 0.909591465681, 0.903077342637, 0.721863198447, 0.805374906948, 0.721863198447, 1.0, 0.721863198447, 0.603690999289, 0.616625760532, 0.0, 3.0, 192.0, 1.00, 1.00, 2724790.34, 2870000.0 
-99.2649722, 19.3218611, 09, 010, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 3.0, 1, 5, 1.0, 0.888886615449, 0.888886615449, 0.854226124792, 0.881110890011, 0.888886615449, 0.881110890011, 0.854226124792, 0.832259672167, 1.0, 3.0, 175.75, 0.80, 1.00, 1488506.25, 1597000.0 
-99.1687222, 19.3724166, 09, 010, 2, 3, 4.0, 4.0, 1.0, 0.57, 0.62, 0.92, 4.0, 4.0, 3.0, 3.0, 1, 5, 1.0, 0.832259672167, 0.748747963665, 1.0, 0.832259672167, 1.0, 0.748747963665, 0.881110890011, 0.832259672167, 1.0, 4.0, 144.26, 1.00, 1.00, 2077641.03, 2092000.0 
-99.2113583, 19.3942833, 09, 010, 2, 3, 4.0, 4.0, 1.0, 0.7, 0.76, 0.92, 4.0, 4.0, 3.0, 4.0, 1, 1, 1.0, 1.0, 1.0, 0.789286787355, 0.746313902543, 1.0, 1.0, 1.0, 0.815481109837, 1.0, 2.0, 182.56, 1.00, 1.00, 1875473.62, 1885000.0 
-99.20115, 19.3790722, 09, 010, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 0.896190786752, 0.881110890011, 0.881110890011, 0.760231117859, 0.805374906948, 1.0, 0.805374906948, 0.554839781444, 0.748747963665, 2.0, 5.0, 252.77, 0.80, 0.80, 1692042.73, 1999000.0 
