@RELATION avaluos 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.163837, 19.476059, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.89, 0.89, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 1, 1.0, 0.748747963665, 0.665236255164, 0.554839781444, 0.638351489946, 0.748747963665, 0.665236255164, 0.68720270779, 0.665236255164, 2.0, 4.0, 214.77, 1.00, 1.00, 2933621.2, 3005000.0 
-99.1722694, 19.46655, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.74, 0.74, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 0.793181833995, 0.840073042326, 0.840073042326, 0.721863198447, 0.759792203247, 0.76304573833, 0.759792203247, 0.744580319717, 0.664268523634, 2.0, 3.0, 100.64, 1.00, 1.00, 1737165.73, 1743000.0 
-99.180309, 19.462996, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.92, 0.92, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.787553204529, 0.847516618062, 0.698685861983, 0.638351489946, 0.667622113875, 0.672710398648, 0.649834644139, 0.635301151634, 0.66809366801, 1.0, 3.0, 241.76, 1.20, 1.00, 3785674.37, 3866000.0 
-99.178818, 19.473169, 09, 002, 2, 3, 3.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 1.0, 0.683946241237, 1.0, 1.0, 0.683118183492, 0.674508669759, 0.812679078251, 0.387816364442, 3.0, 4.0, 200.21, 1.00, 1.00, 2847677.6, 2988000.0 
-99.1774528, 19.4768861, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.903077342637, 0.881110890011, 0.812679078251, 0.79759918151, 0.770714416291, 0.84374282636, 0.770714416291, 0.854226124792, 0.805374906948, 2.0, 4.0, 240.65, 1.00, 1.00, 2148934.74, 3599000.0 
-99.1681444, 19.4654861, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.68, 0.68, 1.0, 4.0, 4.0, 3.0, 5.0, 1, 5, 0.82607975718, 0.79759918151, 0.79759918151, 0.705775078853, 0.581724546663, 0.789286787355, 0.68720270779, 0.625657451914, 0.571678569682, 1.0, 3.0, 175.2, 1.20, 1.00, 2978395.87, 3028000.0 
-99.1647694, 19.4683361, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.64, 0.7, 0.92, 4.0, 4.0, 3.0, 4.0, 1, 5, 1.0, 1.0, 1.0, 0.854226124792, 0.854226124792, 0.832259672167, 1.0, 1.0, 0.805374906948, 2.0, 6.0, 291.76, 1.00, 1.00, 4007287.74, 4551000.0 
-99.2077961, 19.4801291, 09, 002, 2, 4, 4.0, 4.0, 1.0, 0.82, 0.82, 1.0, 3.0, 4.0, 3.0, 4.0, 3, 5, 0.881110890011, 0.705775078853, 0.705775078853, 0.678890313635, 0.705775078853, 0.802324568637, 0.705775078853, 0.903077342637, 0.736053925634, 2.0, 5.0, 178.16, 1.00, 1.00, 2380840.08, 2472000.0 
-99.1632389, 19.4741778, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 0.805374906948, 0.805374906948, 0.68720270779, 0.770714416291, 0.819565634135, 0.68720270779, 0.721863198447, 0.665236255164, 1.0, 4.0, 213.4, 1.00, 1.00, 2350755.07, 3354000.0 
-99.217884, 19.48155, 09, 002, 2, 4, 4.0, 4.0, 1.0, 0.78, 0.78, 1.0, 4.0, 4.0, 3.0, 3.0, 3, 5, 0.881110890011, 0.789286787355, 0.789286787355, 0.770714416291, 0.770714416291, 0.789286787355, 1.0, 0.770714416291, 0.748747963665, 2.0, 3.0, 106.43, 1.00, 1.00, 1747610.1, 1759000.0 
-99.1648806, 19.4625806, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 0.832259672167, 0.832259672167, 0.832259672167, 1.0, 0.678890313635, 0.678890313635, 0.678890313635, 0.854226124792, 0.674508669759, 1.0, 2.0, 107.52, 1.00, 1.00, 2093992.5, 2144000.0 
-99.1722694, 19.46655, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.74, 0.74, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 0.793181833995, 0.840073042326, 0.840073042326, 0.721863198447, 0.759792203247, 0.76304573833, 0.759792203247, 0.744580319717, 0.664268523634, 2.0, 3.0, 100.64, 1.00, 1.00, 1737165.73, 1743000.0 
-99.2090805, 19.5033722, 09, 002, 2, 3, 2.0, 4.0, 1.0, 0.64, 0.7, 0.92, 4.0, 4.0, 3.0, 3.0, 3, 5, 1.0, 1.0, 1.0, 0.68720270779, 0.554839781444, 0.68720270779, 1.0, 1.0, 0.638351489946, 2.0, 5.0, 295.8, 1.00, 1.00, 3986518.93, 4086000.0 
-99.1557778, 19.4727138, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.78, 0.8, 0.98, 4.0, 4.0, 3.0, 5.0, 2, 5, 1.0, 1.0, 1.0, 0.720347682518, 0.770714416291, 0.832259672167, 1.0, 1.0, 0.714087473008, 6.0, 4.0, 376.78, 1.00, 1.00, 4511756.33, 4660000.0 
-99.169633, 19.465964, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 5, 0.822996895741, 0.80416402311, 0.80416402311, 0.805374906948, 0.678890313635, 0.678890313635, 0.678890313635, 0.75230926514, 0.753473350792, 1.0, 2.0, 155.01, 1.00, 1.00, 2859199.8, 2989000.0 
-99.2063351, 19.5060481, 09, 002, 2, 4, 4.0, 4.0, 1.0, 0.76, 0.76, 1.0, 3.0, 4.0, 3.0, 4.0, 2, 5, 0.91302957499, 0.819565634135, 0.819565634135, 0.803859391019, 0.775632728884, 0.665236255164, 0.548659866458, 0.738701986685, 0.603690999289, 0.0, 3.0, 67.45, 0.80, 1.00, 696113.22, 894000.0 
-99.1716638, 19.4667416, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.35, 0.38, 0.92, 4.0, 4.0, 3.0, 3.0, 2, 5, 1.0, 0.881110890011, 0.881110890011, 0.819565634135, 0.819565634135, 0.819565634135, 0.760231117859, 0.805374906948, 0.805374906948, 1.0, 3.0, 251.9, 1.00, 1.00, 2815552.27, 3980000.0 
-99.1537472, 19.4737917, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.95, 0.95, 1.0, 4.0, 4.0, 3.0, 3.0, 2, 5, 0.84374282636, 1.0, 1.0, 0.638351489946, 0.705775078853, 0.705775078853, 0.705775078853, 0.84374282636, 0.638351489946, 2.0, 2.0, 72.27, 1.00, 1.00, 2425048.07, 2579000.0 
-99.20574, 19.4794566, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 5.0, 175.01, 1.00, 1.00, 2269554.6, 2257000.0 
-99.1722694, 19.46655, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.74, 0.74, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 0.793181833995, 0.840073042326, 0.840073042326, 0.721863198447, 0.759792203247, 0.76304573833, 0.759792203247, 0.744580319717, 0.664268523634, 2.0, 3.0, 100.64, 1.00, 1.00, 1737165.73, 1743000.0 
-99.168755, 19.4597698, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.5, 0.54, 0.92, 4.0, 4.0, 3.0, 3.0, 1, 5, 0.748747963665, 0.832259672167, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.638351489946, 1.0, 4.0, 273.29, 1.20, 1.00, 3391940.29, 3582000.0 
-99.185808, 19.493298, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.8, 0.69, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.881110890011, 0.832259672167, 0.832259672167, 0.748747963665, 0.748747963665, 0.832259672167, 0.748747963665, 0.832259672167, 0.748747963665, 0.0, 1.0, 260.78, 0.80, 0.80, 2331919.63, 2663000.0 
-99.2010777, 19.47845, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.56, 0.61, 0.92, 4.0, 4.0, 3.0, 3.0, 2, 5, 1.0, 1.0, 1.0, 0.832259672167, 0.638351489946, 0.805374906948, 1.0, 1.0, 0.736053925634, 2.0, 5.0, 260.0, 1.00, 1.00, 2934564.10, 3042000.0 
-99.1646083, 19.4642888, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.36, 0.39, 0.92, 4.0, 4.0, 3.0, 4.0, 3, 5, 1.0, 1.0, 1.0, 0.748747963665, 0.603690999289, 0.84374282636, 1.0, 1.0, 0.789286787355, 0.0, 3.0, 72.62, 1.00, 1.00, 1820058.99, 1852000.0 
-99.1986417, 19.4840667, 09, 002, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 1.0, 0.71568328346, 0.71568328346, 0.805374906948, 0.748747963665, 0.881110890011, 0.748747963665, 0.881110890011, 0.748747963665, 3.0, 3.0, 92.46, 1.00, 1.00, 2180633.9, 2237000.0 
