@RELATION avaluos 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.1457972, 19.3478361, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 282.52, 1.00, 1.00, 2697694.49, 2698000.0 
-99.111418, 19.302324, 09, 003, 2, 4, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 0.805374906948, 0.748747963665, 0.57680623407, 0.780358116011, 0.493294525569, 0.789286787355, 0.493294525569, 0.783106872368, 0.710831006456, 1.0, 2.0, 110.87, 1.00, 1.00, 2316068.14, 2398000.0 
-99.130355, 19.347703, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 170.0, 1.00, 1.00, 3358660.26, 3516000.0 
-99.1298667, 19.3566778, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 0.832259672167, 0.881110890011, 0.805374906948, 0.805374906948, 0.471328072943, 0.805374906948, 0.471328072943, 0.805374906948, 0.789286787355, 2.0, 4.0, 285.8, 1.00, 1.00, 2701751, 2800000.0 
-99.13253, 19.35627, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.67, 0.67, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.877441105977, 0.842421256315, 0.842421256315, 0.830316373139, 0.740779312761, 0.740779312761, 0.740779312761, 0.830316373139, 0.801860283177, 2.0, 3.0, 65.0, 1.00, 1.00, 2545992.58, 2546000.0 
-99.12639, 19.31317, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.69, 0.69, 1.0, 5.0, 4.0, 3.0, 5.0, 2, 5, 1.0, 1.0, 1.0, 1.0, 0.554839781444, 0.888886615449, 0.554839781444, 0.832259672167, 0.903077342637, 4.0, 2.0, 332.59, 1.00, 1.00, 4489877.06, 5083000.0 
-99.147156, 19.348926, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.91, 0.91, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 0.770714416291, 0.770714416291, 0.770714416291, 0.748747963665, 0.748747963665, 0.748747963665, 0.705775078853, 0.721863198447, 0.748747963665, 1.0, 4.0, 240.86, 0.80, 1.00, 1680635.75, 3591000.0 
-99.129521, 19.310485, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.73, 0.73, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.881110890011, 1.0, 1.0, 0.838138005199, 0.748747963665, 0.789286787355, 0.748747963665, 0.822213695186, 0.909591465681, 4.0, 3.0, 343.96, 1.00, 1.00, 5969879.82, 8362000.0 
-99.1078911, 19.3135891, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 6.0, 1, 5, 0.815895850101, 0.808349920513, 0.789286787355, 0.710831006456, 0.625657451914, 0.900506603192, 0.625657451914, 0.848888744202, 0.71568328346, 0.0, 3.0, 184.5, 1.20, 1.00, 2624380.97, 3251000.0 
-99.1584371, 19.3109911, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.81, 0.81, 1.0, 4.0, 4.0, 3.0, 6.0, 1, 5, 0.898507143339, 0.79614465365, 1.0, 0.748747963665, 0.584581959508, 1.0, 0.584581959508, 0.753704824308, 0.660818907649, 0.0, 3.0, 180.72, 1.00, 1.00, 2333597.03, 2546000.0 
