@RELATION avaluos 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.0985946, 19.5066547, 09, 005, 2, 3, 3.0, 4.0, 1.0, 0.72, 0.72, 1.0, 4.0, 4.0, 3.0, 5.0, 3, 1, 1.0, 1.0, 0.812679078251, 1.0, 0.832259672167, 1.0, 0.832259672167, 1.0, 1.0, 1.0, 4.0, 77.0, 1.20, 1.00, 473852.84, 990000.0 
-99.0665778, 19.4772667, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.75, 1.0, 0.75, 4.0, 4.0, 3.0, 3.0, 2, 5, 0.881110890011, 0.799194991961, 0.471328072943, 0.61877089603, 0.806871596104, 0.806871596104, 0.799194991961, 1.0, 0.527955016226, 2.0, 5.0, 186.88, 1.00, 1.00, 0, 1387000.0 
-99.0720278, 19.4713333, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.74, 0.74, 1.0, 4.0, 4.0, 3.0, 3.0, 2, 5, 1.0, 0.554839781444, 0.554839781444, 0.896190786752, 0.554839781444, 0.854226124792, 0.554839781444, 0.854226124792, 0.748747963665, 1.0, 2.0, 54.6, 1.00, 1.00, 867357.4, 880000.0 
-99.103324, 19.468776, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.61, 0.61, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 1.0, 0.748747963665, 0.832259672167, 0.748747963665, 0.832259672167, 1.0, 0.748747963665, 0.881110890011, 0.748747963665, 1.0, 3.0, 229.74, 1.00, 1.00, 1893052.95, 1972000.0 
-99.1280027, 19.4740861, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.37, 0.41, 0.92, 4.0, 4.0, 3.0, 3.0, 1, 5, 1.0, 1.0, 1.0, 0.748747963665, 0.832259672167, 0.84374282636, 1.0, 1.0, 0.705775078853, 2.0, 2.0, 203.1, 1.00, 1.00, 2051911.43, 2336000.0 
-99.137797, 19.489344, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 0.854226124792, 0.805374906948, 0.832259672167, 0.832259672167, 0.832259672167, 0.832259672167, 0.832259672167, 0.748747963665, 1.0, 4.0, 255.6, 1.00, 1.00, 3022255.43, 3454000.0 
-99.0904166, 19.4577222, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.84, 0.92, 0.92, 4.0, 4.0, 3.0, 3.0, 1, 5, 0.705775078853, 0.649834644139, 0.603690999289, 0.812679078251, 0.748747963665, 0.748747963665, 0.603690999289, 0.82607975718, 0.832259672167, 3.0, 4.0, 280.99, 1.00, 1.00, 3610477.38, 4131000.0 
-99.1540972, 19.5254055, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.64, 0.7, 0.92, 4.0, 4.0, 3.0, 3.0, 2, 5, 1.0, 1.0, 1.0, 0.768689462277, 0.748747963665, 0.748747963665, 1.0, 1.0, 0.764534501305, 1.0, 4.0, 201.34, 1.00, 1.00, 2855753.96, 2980000.0 
-99.087574, 19.474104, 09, 005, 2, 4, 4.0, 4.0, 1.0, 0.77, 0.77, 1.0, 4.0, 4.0, 3.0, 3.0, 3, 5, 0.881110890011, 0.789286787355, 0.789286787355, 0.770714416291, 0.770714416291, 0.789286787355, 1.0, 0.770714416291, 0.748747963665, 2.0, 6.0, 185.82, 1.00, 1.00, 1734144.84, 1770000.0 
-99.136148, 19.488304, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 3.0, 4.0, 3.0, 4.0, 3, 5, 0.819565634135, 0.748747963665, 0.748747963665, 0.854226124792, 0.823516215198, 0.819565634135, 0.748747963665, 0.691153288853, 0.743829651073, 1.0, 3.0, 209.17, 1.00, 1.00, 3279084.47, 3313000.0 
