@RELATION avaluos 
@ATTRIBUTE codigo_postal_ubicacion_inmueble NUMERIC 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE GRADO_TERMINACION_OBRA NUMERIC 
@ATTRIBUTE AVANCE_OBRA_PRIVATIVAS NUMERIC 
@ATTRIBUTE EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_TOTAL_TIPO_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_REMANENTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_ESTADO_CONSERVACION NUMERIC 
@ATTRIBUTE CVE_CALIDAD_PROYECTO NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE NIVELES_ZONA NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PRIMARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_SECUNDARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PREPARATORIA NUMERIC 
@ATTRIBUTE DISTANCIA_BANCOS NUMERIC 
@ATTRIBUTE DISTANCIA_LOCALES_COMERCIALES NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_ NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_ NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE SUPERFICIE_TOTAL_CONSTRUCCIONES_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_CONSTRUIDA NUMERIC 
@ATTRIBUTE SUPERFICIE_COMUNES NUMERIC 
@ATTRIBUTE SUPERFICIE_ACCESORIA NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FUB NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE FFO NUMERIC 
@ATTRIBUTE FSU NUMERIC 
@ATTRIBUTE FOT NUMERIC 
@ATTRIBUTE IMPORTE_ENFOQUE_INGRESOS NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
05600, -99.264672, 19.347316, 09, 004, 4.0, 3.0, 4.0, 6.0, 1.0, 100.0, 100.0, 0.0, 1080.0, 1.0, 1080.0, 1.0, 1.0, 4.0, 1.0, 6.0, 6.0, 1.0, 4.0, 2, 5, 3, 0.881110890011, 0.881110890011, 0.881110890011, 0.881110890011, 0.554839781444, 1.0, 0.903077342637, 0.881110890011, 0.881110890011, 0.471328072943, 1.0, 0.471328072943, 0.896190786752, 0.881110890011, 1.0, 0.903077342637, 4.0, 3.0, 351.23, 528.18, 351.23, 351.23, 0.0, 50.79, 1.20, 1.00, 1.00, 1.00, 0.62, 1.00, 10962565.38, 12480394.73, 15873000.0 
05348, -99.2817341, 19.3590031, 09, 004, 4.0, 3.0, 4.0, 6.0, 1.0, 91.25, 88.1, 0.0, 90.0, 1.0, 90.0, 1.0, 1.0, 6.0, 1.0, 6.0, 6.0, 1.0, 5.0, 1, 5, 40, 0.79200965867, 0.687603646355, 0.748265069521, 0.862095939988, 1.0, 1.0, 0.812962232148, 0.666673432377, 0.607641580352, 0.903077342637, 0.776592749324, 0.903077342637, 0.620878505361, 0.746313902543, 0.722763441198, 0.866618580869, 4.0, 2.0, 322.51, 375.7, 322.51, 322.51, 2160.0, 53.19, 1.00, 1.00, 1.00, 1.00, 0.62, 0.00, 7472135.93, 6924076.57, 10043000.0 
11560, -99.189174, 19.427625, 09, 016, 4.0, 4.0, 4.0, 6.0, 1.0, 100.0, 100.0, 60.0, 768.0, 0.92, 708.0, 0.92, 1.0, 4.0, 1.0, 6.0, 6.0, 1.0, 5.0, 2, 1, 21, 0.736053925634, 1.0, 0.780358116011, 0.736053925634, 0.780358116011, 0.780358116011, 1.0, 0.603690999289, 1.0, 0.736053925634, 0.736053925634, 0.736053925634, 0.736053925634, 0.854226124792, 0.780358116011, 0.705775078853, 3.0, 2.0, 297.34, 529.32, 297.34, 297.34, 0.0, 79.01, 1.20, 1.15, 1.00, 1.00, 0.96, 1.00, 15058370.83, 12826403.89, 23407329.81 
05348, -99.269819, 19.359401, 09, 004, 4.0, 3.0, 4.0, 6.0, 1.0, 100.0, 100.0, 72.0, 1080.0, 0.94, 1008.0, 0.94, 1.0, 5.0, 1.0, 6.0, 6.0, 1.0, 6.0, 3, 5, 20, 0.748747963665, 0.805374906948, 0.881110890011, 0.748747963665, 0.881110890011, 1.0, 0.805374906948, 0.881110890011, 0.68720270779, 0.554839781444, 0.881110890011, 0.554839781444, 0.812679078251, 0.854226124792, 0.770714416291, 0.770714416291, 2.0, 2.0, 158.6, 158.6, 158.6, 158.6, 0.0, 0.0, 1.20, 1.15, 1.00, 1.00, 1.00, 1.00, 4022224.92, 4013672.01, 5617000.0 
01330, -99.2690931, 19.3729881, 09, 010, 4.0, 3.0, 3.0, 6.0, 1.0, 100.0, 100.0, 0.0, 90.0, 1.0, 90.0, 1.0, 1.0, 6.0, 1.0, 6.0, 6.0, 1.0, 4.0, 1, 1, 20, 0.766629891993, 0.770714416291, 0.854226124792, 0.766629891993, 0.795165120387, 0.832259672167, 0.766629891993, 0.770714416291, 0.832259672167, 0.795165120387, 1.0, 0.795165120387, 0.839280022543, 0.819565634135, 0.79759918151, 1.0, 2.0, 2.0, 87.61, 91.47, 87.61, 87.61, 1115.0, 3.86, 1.00, 1.00, 1.00, 1.00, 0.62, 0.00, 2576615.48, 1443989.06, 3134000.0 
11000, -99.2144469, 19.4314239, 09, 016, 4.0, 3.0, 4.0, 6.0, 1.0, 100.0, 100.0, 3.0, 90.0, 1.0, 87.0, 1.0, 1.0, 4.0, 1.0, 5.0, 6.0, 1.0, 6.0, 1, 5, 10, 0.685177753776, 0.891050796217, 0.612963413883, 0.836171381822, 0.612963413883, 1.0, 0.906768543777, 0.593645022308, 0.501070251007, 0.612963413883, 0.881110890011, 0.612963413883, 0.78561700332, 0.702989245429, 0.61877089603, 0.818759731949, 2.0, 2.0, 182.82, 210.09, 182.82, 182.82, 329.0, 27.27, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 4434573.81, 3754438.58, 6441000.0 
05600, -99.266194, 19.347049, 09, 004, 4.0, 3.0, 4.0, 6.0, 1.0, 100.0, 100.0, 0.0, 1080.0, 1.0, 1080.0, 1.0, 1.0, 4.0, 1.0, 6.0, 6.0, 1.0, 4.0, 2, 5, 3, 0.881110890011, 0.881110890011, 0.881110890011, 0.881110890011, 0.554839781444, 1.0, 0.903077342637, 0.881110890011, 0.881110890011, 0.554839781444, 1.0, 0.554839781444, 0.903077342637, 0.881110890011, 1.0, 0.903077342637, 3.0, 3.0, 334.0, 414.94, 334.0, 334.0, 0.0, 0.0, 1.20, 1.00, 1.00, 1.00, 0.62, 1.00, 10584601.18, 10380979.42, 15793000.0 
01330, -99.2690931, 19.3729881, 09, 010, 4.0, 3.0, 3.0, 6.0, 1.0, 100.0, 100.0, 0.0, 90.0, 1.0, 90.0, 1.0, 1.0, 6.0, 1.0, 6.0, 6.0, 1.0, 4.0, 1, 1, 20, 0.766629891993, 0.770714416291, 0.854226124792, 0.766629891993, 0.795165120387, 0.832259672167, 0.766629891993, 0.770714416291, 0.832259672167, 0.795165120387, 1.0, 0.795165120387, 0.839280022543, 0.819565634135, 0.79759918151, 1.0, 2.0, 3.0, 114.13, 116.91, 114.13, 114.13, 1115.0, 2.78, 1.00, 1.00, 1.00, 1.00, 0.62, 0.00, 2576615.48, 1838567.19, 3740000.0 
05348, -99.275451, 19.355414, 09, 004, 4.0, 3.0, 4.0, 6.0, 1.0, 100.0, 100.0, 96.0, 1080.0, 1.0, 984.0, 1.0, 1.0, 4.0, 1.0, 6.0, 6.0, 1.0, 4.0, 3, 2, 12, 0.748747963665, 0.881110890011, 0.881110890011, 0.748747963665, 0.881110890011, 1.0, 0.805374906948, 0.471328072943, 0.68720270779, 0.554839781444, 0.881110890011, 0.554839781444, 0.665236255164, 0.748747963665, 0.770714416291, 0.770714416291, 2.0, 2.0, 112.95, 148.31, 112.95, 112.95, 0.0, 35.36, 1.20, 1.35, 1.00, 1.00, 1.00, 1.00, 3770475.57, 3130961.95, 4247000.0 
05348, -99.2817341, 19.3590031, 09, 004, 4.0, 3.0, 4.0, 7.0, 1.0, 100.0, 100.0, 0.0, 90.0, 1.0, 90.0, 1.0, 1.0, 6.0, 1.0, 6.0, 6.0, 1.0, 5.0, 1, 5, 40, 0.79200965867, 0.687603646355, 0.748265069521, 0.862095939988, 1.0, 1.0, 0.812962232148, 0.666673432377, 0.607641580352, 0.903077342637, 0.776592749324, 0.903077342637, 0.620878505361, 0.746313902543, 0.722763441198, 0.866618580869, 2.0, 2.0, 134.49, 134.49, 134.49, 134.49, 2160.0, 0.0, 1.00, 1.00, 1.00, 1.00, 0.62, 0.00, 3225693.63, 2172409.53, 4890000.0 
