@RELATION avaluos 
@ATTRIBUTE codigo_postal_ubicacion_inmueble NUMERIC 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE GRADO_TERMINACION_OBRA NUMERIC 
@ATTRIBUTE AVANCE_OBRA_PRIVATIVAS NUMERIC 
@ATTRIBUTE EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_TOTAL_TIPO_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_REMANENTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_ESTADO_CONSERVACION NUMERIC 
@ATTRIBUTE CVE_CALIDAD_PROYECTO NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE NIVELES_ZONA NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PRIMARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_SECUNDARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PREPARATORIA NUMERIC 
@ATTRIBUTE DISTANCIA_BANCOS NUMERIC 
@ATTRIBUTE DISTANCIA_LOCALES_COMERCIALES NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_ NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_ NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE SUPERFICIE_TOTAL_CONSTRUCCIONES_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_CONSTRUIDA NUMERIC 
@ATTRIBUTE SUPERFICIE_COMUNES NUMERIC 
@ATTRIBUTE SUPERFICIE_ACCESORIA NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FUB NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE FFO NUMERIC 
@ATTRIBUTE FSU NUMERIC 
@ATTRIBUTE FOT NUMERIC 
@ATTRIBUTE IMPORTE_ENFOQUE_INGRESOS NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
01180, -99.19192, 19.387151, 09, 010, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 840.0, 1.0, 840.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 4, 15, 0.770714416291, 1.0, 0.554839781444, 0.789286787355, 0.554839781444, 0.68720270779, 0.896826949773, 0.554839781444, 0.554839781444, 0.554839781444, 0.554839781444, 0.554839781444, 0.68720270779, 0.832259672167, 0.748747963665, 0.748747963665, 2.0, 3.0, 92.8, 92.8, 92.8, 92.8, 0.0, 42.28, 1.00, 1.15, 1.00, 1.00, 1.00, 1.00, 2511122.39, 2063623.04, 2794000.0 
06880, -99.141012, 19.403997, 09, 015, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 96.0, 960.0, 0.91, 864.0, 0.91, 1.0, 5.0, 1.0, 4.0, 4.0, 3.0, 3.0, 1, 1, 5, 0.68720270779, 0.748747963665, 0.909591465681, 0.854226124792, 0.854226124792, 0.770714416291, 0.789286787355, 0.82607975718, 0.770714416291, 0.780358116011, 0.872798495856, 0.638351489946, 0.849098460404, 0.780358116011, 0.863869824512, 0.748747963665, 1.0, 2.0, 64.0, 64.0, 64.0, 64.0, 0.0, 0.0, 1.20, 1.15, 1.00, 1.00, 1.00, 1.00, 1103028.04, 1173242.75, 1482000.0 
08500, -99.067053, 19.400814, 09, 006, 4.0, 4.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 840.0, 1.0, 840.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 7, 0.907545014312, 1.0, 0.909781550277, 0.770714416291, 0.79759918151, 0.812679078251, 0.908124100794, 0.696475122385, 0.638351489946, 0.800142430089, 0.791841270204, 0.794342714957, 0.869217399295, 0.716944885854, 0.824033305811, 0.857592313791, 1.0, 2.0, 54.98, 54.98, 54.98, 54.98, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 711487.39, 827198.54, 1003000.0 
06840, -99.1337666, 19.4196361, 09, 015, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 2.0, 70.0, 0.97, 68.0, 0.99, 0.98, 5.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 1, 1.0, 1.0, 1.0, 1.0, 1.0, 0.705775078853, 1.0, 0.721863198447, 1.0, 0.57680623407, 0.721863198447, 1.0, 1.0, 0.638351489946, 1.0, 1.0, 1.0, 2.0, 48.33, 0.0, 48.33, 48.33, 0.0, 9.24, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0, 811237.2, 988000.0 
15530, -99.099519, 19.436416, 09, 017, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 960.0, 1.0, 960.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 6.0, 1, 2, 10, 0.759792203247, 0.912844550238, 0.706803380353, 0.691928094917, 0.74357838523, 0.575798011218, 0.913152767156, 0.843083853371, 0.638351489946, 0.788423113923, 0.788423113923, 0.788423113923, 0.841754995109, 0.83859611194, 0.683946241237, 0.744330616151, 1.0, 2.0, 69.0, 69.0, 69.0, 69.0, 0.0, 0.0, 1.20, 1.25, 1.00, 1.00, 1.00, 1.00, 937330.61, 1246935.81, 1572000.0 
04800, -99.1218661, 19.3150971, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 432.0, 840.0, 0.75, 408.0, 0.75, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 5, 16, 0.748747963665, 1.0, 0.770714416291, 0.770714416291, 0.68720270779, 0.770714416291, 0.903077342637, 0.881110890011, 0.770714416291, 0.721863198447, 0.68720270779, 0.721863198447, 0.638351489946, 0.68720270779, 0.68720270779, 0.888886615449, 1.0, 3.0, 102.72, 110.45, 102.72, 102.72, 0.0, 7.73, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1085374.04, 1126988.35, 1229000.0 
03700, -99.189078, 19.378657, 09, 014, 4.0, 4.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 960.0, 1.0, 960.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 5.0, 1, 5, 5, 0.770714416291, 0.903077342637, 1.0, 0.789286787355, 1.0, 0.748747963665, 0.789286787355, 0.770714416291, 0.638351489946, 0.748747963665, 0.888886615449, 0.805374906948, 0.770714416291, 0.805374906948, 0.819565634135, 0.832259672167, 2.0, 2.0, 82.61, 82.61, 82.61, 82.61, 0.0, 6.35, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 2217388.91, 2017238.15, 2588000.0 
07870, -99.137852, 19.469102, 09, 005, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 156.0, 840.0, 0.83, 684.0, 0.83, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 5, 0.805374906948, 0.832259672167, 0.832259672167, 0.805374906948, 0.832259672167, 0.805374906948, 0.832259672167, 0.805374906948, 0.554839781444, 0.748747963665, 0.805374906948, 0.748747963665, 0.805374906948, 0.193908182221, 0.832259672167, 0.832259672167, 1.0, 2.0, 65.0, 65.0, 65.0, 65.0, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0, 1058717.67, 1064306.1 
01180, -99.192, 19.3859444, 09, 010, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 600.0, 1.0, 600.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 3.0, 2, 1, 15, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 58.33, 67.57, 58.33, 58.33, 0.0, 9.24, 1.00, 1.15, 1.00, 1.00, 0.84, 1.00, 1256662.6, 935273.17, 1442000.0 
01430, -99.232163, 19.363341, 09, 010, 4.0, 3.0, 2.0, 4.0, 1.0, 100.0, 100.0, 264.0, 852.0, 0.8, 588.0, 0.72, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 5.0, 3, 5, 6, 0.68720270779, 1.0, 0.748747963665, 0.721863198447, 0.748747963665, 0.805374906948, 0.638351489946, 0.819565634135, 0.789286787355, 0.638351489946, 0.638351489946, 0.748747963665, 0.819565634135, 0.770714416291, 0.805374906948, 0.770714416291, 2.0, 3.0, 98.41, 113.17, 98.41, 98.41, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 0.84, 1.00, 1671000, 1440288.81, 1673000.0 
