@RELATION avaluos 
@ATTRIBUTE codigo_postal_ubicacion_inmueble NUMERIC 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE GRADO_TERMINACION_OBRA NUMERIC 
@ATTRIBUTE AVANCE_OBRA_PRIVATIVAS NUMERIC 
@ATTRIBUTE EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_TOTAL_TIPO_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_REMANENTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_ESTADO_CONSERVACION NUMERIC 
@ATTRIBUTE CVE_CALIDAD_PROYECTO NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE NIVELES_ZONA NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PRIMARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_SECUNDARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PREPARATORIA NUMERIC 
@ATTRIBUTE DISTANCIA_BANCOS NUMERIC 
@ATTRIBUTE DISTANCIA_LOCALES_COMERCIALES NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_ NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_ NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE SUPERFICIE_TOTAL_CONSTRUCCIONES_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_CONSTRUIDA NUMERIC 
@ATTRIBUTE SUPERFICIE_COMUNES NUMERIC 
@ATTRIBUTE SUPERFICIE_ACCESORIA NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FUB NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE FFO NUMERIC 
@ATTRIBUTE FSU NUMERIC 
@ATTRIBUTE FOT NUMERIC 
@ATTRIBUTE IMPORTE_ENFOQUE_INGRESOS NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
05320, -99.2718672, 19.3668622, 09, 004, 4.0, 4.0, 4.0, 5.0, 1.0, 100.0, 100.0, 0.0, 960.0, 1.0, 960.0, 1.0, 1.0, 6.0, 1.0, 5.0, 5.0, 2.0, 6.0, 1, 5, 20, 0.748747963665, 0.68720270779, 0.68720270779, 0.748747963665, 0.68720270779, 0.789286787355, 0.748747963665, 0.748747963665, 0.638351489946, 0.277419890722, 0.832259672167, 0.277419890722, 0.68720270779, 0.68720270779, 0.832259672167, 0.832259672167, 1.0, 1.0, 43.47, 43.47, 43.47, 43.47, 0.0, 0.0, 1.20, 1.00, 1.00, 1.00, 0.92, 1, 1586318.89, 1215662.76, 1678000.0 
04210, -99.2494638, 19.5772194, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 18.0, 70.0, 0.78, 52.0, 0.85, 0.92, 4.0, 1.0, 4.0, 5.0, 2.0, 3.0, 1, 5, 1, 0.770714416291, 1.0, 0.805374906948, 0.805374906948, 0.805374906948, 0.805374906948, 0.854226124792, 0.881110890011, 0.638351489946, 0.748747963665, 0.872798495856, 0.770714416291, 0.638351489946, 0.854226124792, 0.854226124792, 0.881110890011, 2.0, 1.0, 50.88, 0.0, 50.88, 50.88, 0.0, 5.11, 1.15, 1.00, 1.00, 0.98, 1.00, 1.00, 0, 795186.62, 1155000.0 
03330, -99.163558, 19.364476, 09, 014, 4.0, 4.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 960.0, 1.0, 960.0, 1.0, 1.0, 6.0, 1.0, 4.0, 5.0, 2.0, 4.0, 2, 1, 6, 0.665236255164, 0.79759918151, 0.736053925634, 0.740004506697, 0.638351489946, 0.603690999289, 0.79759918151, 0.603690999289, 0.132362926346, 0.471328072943, 0.603690999289, 0.193908182221, 0.603690999289, 0.554839781444, 0.603690999289, 0.736053925634, 1.0, 2.0, 69.13, 69.13, 69.13, 69.13, 0.0, 0.0, 1.20, 1.15, 1.00, 1.00, 1.00, 1.00, 2191525.52, 1706117.8, 2613000.0 
11320, -99.179319, 19.436889, 09, 016, 4.0, 3.0, 4.0, 5.0, 1.0, 100.0, 100.0, 0.0, 960.0, 1.0, 960.0, 1.0, 1.0, 6.0, 1.0, 6.0, 5.0, 2.0, 4.0, 1, 2, 20, 0.721863198447, 0.805374906948, 0.554839781444, 0.748747963665, 0.603690999289, 0.748747963665, 0.770714416291, 0.68720270779, 0.554839781444, 0.721863198447, 0.780358116011, 0.721863198447, 0.748747963665, 0.748747963665, 0.812679078251, 0.812679078251, 3.0, 3.0, 160.75, 160.75, 160.75, 160.75, 0.0, 0.0, 1.20, 1.25, 1.00, 1.00, 0.62, 1, 5737284.77, 5109117.51, 7186000.0 
06760, -99.162253, 19.409612, 09, 015, 4.0, 3.0, 4.0, 5.0, 1.0, 100.0, 100.0, 0.0, 960.0, 1.0, 960.0, 1.0, 1.0, 6.0, 1.0, 5.0, 5.0, 2.0, 5.0, 1, 5, 6, 0.671343859299, 0.676280494746, 0.673612889218, 0.625657451914, 0.673612889218, 0.654665301633, 0.625657451914, 0.721863198447, 0.326271108567, 0.721863198447, 0.705775078853, 0.721863198447, 0.721863198447, 0.533833349258, 0.57680623407, 0.665236255164, 2.0, 2.0, 112.41, 112.41, 112.41, 112.41, 0.0, 0.0, 1.20, 1.00, 1.00, 1.00, 1.00, 1.00, 2924070, 3119784.63, 3756000.0 
04250, -99.123874, 19.350308, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 300.0, 960.0, 0.71, 660.0, 0.71, 1.0, 4.0, 1.0, 4.0, 5.0, 2.0, 4.0, 2, 5, 3, 0.748747963665, 0.832259672167, 0.736053925634, 0.774859166498, 0.736053925634, 0.785261599146, 0.857201138357, 0.793348360528, 0.780358116011, 0.665236255164, 0.82607975718, 0.471328072943, 0.84374282636, 0.656751620912, 0.812679078251, 0.812679078251, 1.0, 2.0, 64.15, 64.15, 64.15, 64.15, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 992390.48, 759792.25, 1458000.0 
11570, -99.1815111, 19.4318694, 09, 016, 4.0, 3.0, 4.0, 5.0, 1.0, 100.0, 100.0, 276.0, 960.0, 0.9, 684.0, 0.9, 1.0, 4.0, 1.0, 5.0, 5.0, 2.0, 6.0, 1, 1, 15, 0.832259672167, 0.832259672167, 0.832259672167, 0.881110890011, 0.832259672167, 0.881110890011, 0.881110890011, 0.805374906948, 0.748747963665, 0.832259672167, 1.0, 0.832259672167, 0.748747963665, 0.748747963665, 0.881110890011, 1.0, 0.0, 1.0, 68.2, 68.2, 68.2, 68.2, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1008314.83, 1919110.2, 2519000.0 
05320, -99.2718674, 19.3668624, 09, 004, 4.0, 4.0, 4.0, 5.0, 1.0, 100.0, 100.0, 0.0, 960.0, 1.0, 960.0, 1.0, 1.0, 6.0, 1.0, 5.0, 5.0, 2.0, 6.0, 1, 5, 20, 0.748747963665, 0.68720270779, 0.68720270779, 0.748747963665, 0.68720270779, 0.789286787355, 0.748747963665, 0.748747963665, 0.638351489946, 0.277419890722, 0.832259672167, 0.277419890722, 0.68720270779, 0.68720270779, 0.832259672167, 0.832259672167, 2.0, 2.0, 73.71, 73.71, 73.71, 73.71, 0.0, 0.0, 1.20, 1.00, 1.00, 1.00, 0.92, 1, 2591964.97, 2012267.99, 2816000.0 
01780, -99.2217083, 19.3424388, 09, 010, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 25.0, 0.0, 1.0, 55.0, 1.0, 1.0, 0.0, 1.0, 4.0, 5.0, 2.0, 4.0, 1, 5, 0, 0.748747963665, 1.0, 0.832259672167, 0.780358116011, 0.832259672167, 0.805374906948, 0.805374906948, 0.805374906948, 0.748747963665, 0.68720270779, 0.748747963665, 0.277419890722, 0.805374906948, 0.789286787355, 0.748747963665, 0.789286787355, 2.0, 2.0, 102.0, 102.0, 102.0, 102.0, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 3911405.59, 3911405.59, 2500000.0 
03810, -99.178362, 19.391494, 09, 014, 4.0, 3.0, 4.0, 5.0, 1.0, 100.0, 100.0, 0.0, 600.0, 1.0, 600.0, 1.0, 1.0, 4.0, 1.0, 5.0, 5.0, 2.0, 4.0, 2, 5, 6, 0.832259672167, 0.881110890011, 0.832259672167, 0.832259672167, 0.832259672167, 0.748747963665, 0.881110890011, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.881110890011, 0.881110890011, 2.0, 2.0, 71.72, 232.3, 71.72, 71.72, 0.0, 64.91, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 2428380.62, 2950261.07, 3499000.0 
