@RELATION avaluos_coyoacan 
@ATTRIBUTE codigo_postal_ubicacion_inmueble NUMERIC 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE GRADO_TERMINACION_OBRA NUMERIC 
@ATTRIBUTE AVANCE_OBRA_PRIVATIVAS NUMERIC 
@ATTRIBUTE EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_TOTAL_TIPO_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_REMANENTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_ESTADO_CONSERVACION NUMERIC 
@ATTRIBUTE CVE_CALIDAD_PROYECTO NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE NIVELES_ZONA NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PRIMARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_SECUNDARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PREPARATORIA NUMERIC 
@ATTRIBUTE DISTANCIA_BANCOS NUMERIC 
@ATTRIBUTE DISTANCIA_LOCALES_COMERCIALES NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_ NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_ NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE SUPERFICIE_TOTAL_CONSTRUCCIONES_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_CONSTRUIDA NUMERIC 
@ATTRIBUTE SUPERFICIE_COMUNES NUMERIC 
@ATTRIBUTE SUPERFICIE_ACCESORIA NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FUB NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE FFO NUMERIC 
@ATTRIBUTE FSU NUMERIC 
@ATTRIBUTE FOT NUMERIC 
@ATTRIBUTE IMPORTE_ENFOQUE_INGRESOS NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
04460, -99.132778, 19.326111, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 30.0, 29.0, 0.75, 30.0, 0.75, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 5.0, 1, 5, 3, 1.0, 1.0, 1.0, 1.0, 0.71568328346, 1.0, 1.0, 0.721863198447, 1.0, 0.705775078853, 1.0, 0.705775078853, 0.753473350792, 0.760231117859, 1.0, 1.0, 1.0, 2.0, 75.0, 87.15, 75.0, 87.15, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0, 0.0, 1140000.0 
04250, -99.124024, 19.346252, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 312.0, 840.0, 0.9, 528.0, 0.9, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 4, 5, 0.762402022136, 1.0, 0.603690999289, 0.762402022136, 0.603690999289, 0.805374906948, 0.789286787355, 0.881110890011, 0.68720270779, 0.638351489946, 0.638351489946, 0.638351489946, 0.878676828888, 0.888886615449, 0.854226124792, 0.854226124792, 1.0, 2.0, 65.0, 65.0, 65.0, 65.0, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1, 937704.37, 1036415.87, 1352000.0 
04939, -99.112148, 19.307121, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 384.0, 840.0, 0.81, 456.0, 0.81, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 2, 3, 0.805374906948, 0.854226124792, 0.854226124792, 0.805374906948, 0.832259672167, 0.789286787355, 0.789286787355, 0.789286787355, 0.554839781444, 0.832259672167, 0.789286787355, 0.471328072943, 0.789286787355, 0.863869824512, 0.832259672167, 0.832259672167, 1.0, 2.0, 51.9, 51.9, 51.9, 51.9, 0.0, 0.0, 1.20, 1.25, 1.00, 1.00, 1.00, 1.00, 483608.28, 604558.5, 689000.0 
04460, -99.1206814, 19.3443033, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 348.0, 840.0, 0.62, 492.0, 0.62, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 3.0, 1, 5, 5, 0.638351489946, 0.881110890011, 1.0, 0.638351489946, 1.0, 0.748747963665, 0.748747963665, 0.68720270779, 1.0, 0.748747963665, 0.832259672167, 0.748747963665, 0.832259672167, 0.748747963665, 0.748747963665, 0.881110890011, 1.0, 3.0, 80.46, 80.46, 80.46, 80.46, 0.0, 0.0, 1.20, 1.00, 1.00, 1.00, 1.00, 1.00, 1171409.09, 1137845.2, 1225915.11 
04870, -99.1361361, 19.3145361, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 276.0, 840.0, 0.75, 564.0, 0.75, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 1, 5, 0.770714416291, 0.854226124792, 0.748747963665, 0.770714416291, 0.748747963665, 0.805374906948, 0.854226124792, 0.805374906948, 1.0, 0.805374906948, 0.805374906948, 0.748747963665, 0.638351489946, 0.748747963665, 0.748747963665, 0.748747963665, 2.0, 4.0, 112.0, 112.0, 112.0, 112.0, 0.0, 0.0, 1.00, 1.15, 1.00, 1.00, 1.00, 1.00, 1287353.98, 2108802.25, 2230000.0 
04710, -99.1702361, 19.3027083, 09, 003, 4.0, 4.0, 3.0, 5.0, 1.0, 100.0, 100.0, 0.0, 1080.0, 1.0, 1080.0, 1.0, 1.0, 6.0, 1.0, 5.0, 5.0, 2.0, 5.0, 2, 1, 17, 0.748747963665, 0.881110890011, 1.0, 0.805374906948, 0.721863198447, 0.805374906948, 0.832259672167, 0.68720270779, 0.748747963665, 0.748747963665, 0.554839781444, 0.748747963665, 0.554839781444, 0.638351489946, 0.721863198447, 1.0, 1.0, 2.0, 64.19, 64.19, 64.19, 64.19, 0.0, 0.0, 1.00, 1.15, 1.00, 1.00, 1.00, 1.00, 1754503.95, 1684653.66, 1950000.0 
04939, -99.1063417, 19.3147111, 09, 003, 4.0, 4.0, 4.0, 4.0, 1.0, 100.0, 100.0, 23.0, 70.0, 0.7, 47.0, 0.7, 1.0, 4.0, 1.0, 4.0, 4.0, 2.0, 4.0, 2, 5, 1, 0.638351489946, 0.881110890011, 0.805374906948, 0.832259672167, 0.805374906948, 0.721863198447, 0.881110890011, 0.748747963665, 0.409782817068, 0.915771380668, 0.760231117859, 0.770714416291, 0.638351489946, 0.721863198447, 0.68720270779, 0.748747963665, 0.0, 2.0, 60.83, 0.0, 60.83, 60.83, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 683274.6, 0.0, 838000.0 
04120, -99.152389, 19.355906, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 12.0, 672.0, 0.98, 660.0, 0.98, 1.0, 6.0, 1.0, 4.0, 4.0, 2.0, 5.0, 2, 5, 3, 0.832259672167, 0.915771380668, 0.68720270779, 0.832259672167, 0.832259672167, 0.832259672167, 0.832259672167, 0.748747963665, 0.68720270779, 0.638351489946, 0.832259672167, 0.68720270779, 0.638351489946, 0.748747963665, 0.915771380668, 0.915771380668, 1.0, 2.0, 67.37, 90.43, 67.38, 67.37, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1523329.65, 1239477.21, 1920000.0 
04909, -99.100343, 19.308563, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 240.0, 840.0, 0.9, 600.0, 0.9, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 4, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 0.915771380668, 1.0, 2.0, 44.98, 44.98, 44.98, 44.98, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 700849.6, 732459.61, 761000.0 
04460, -99.1408448, 19.3336064, 09, 003, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 456.0, 840.0, 0.87, 384.0, 0.87, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 7.0, 3, 5, 6, 0.853924542838, 0.853924542838, 0.863032818174, 0.853924542838, 0.88095014025, 0.77031213903, 0.853924542838, 0.603690999289, 0.548659866458, 0.82129347959, 0.82129347959, 0.810678146155, 0.909464575804, 0.76930053, 0.912721042356, 0.907673940946, 1.0, 3.0, 104.88, 104.88, 104.88, 104.88, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1521784.24, 1669732.68, 1841000.0 
