@RELATION avaluosdepartamentos_entidad_09_municipio_004_clase_todos
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE VALOR_COMPARATIVO_INMUEBLE_M2 NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.283039, 19.361924, 09, 004, 4, 3, 4.0, 5.0, 1.0, 0.96, 0.96, 1.0, 5.0, 6.0, 3.0, 5.0, 3, 5, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2.0, 3.0, 144.0, 1.20, 1.00, 3385627.32, 35130, 5059000.0 
-99.3013025, 19.350412, 09, 004, 4, 3, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 2.0, 6.0, 1, 5, 300.0, 300.0, 300.0, 700.0, 10.0, 1000.0, 10.0, 300.0, 300.0, 2.0, 2.0, 90.0, 1.20, 1.00, 2166367.38, 27221.18, 2448000.0 
-99.285863, 19.365626, 09, 004, 4, 4, 4.0, 4.0, 1.0, 0.93, 0.93, 1.0, 4.0, 4.0, 3.0, 6.0, 1, 4, 2000.0, 500.0, 500.0, 500.0, 500.0, 2000.0, 500.0, 1000.0, 300.0, 1.0, 2.0, 62.29, 1.00, 1.00, 859224.98, 16940.93, 1053000.0 
-99.283064, 19.362691, 09, 004, 4, 4, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 2.0, 3.0, 3, 5, 1700.0, 900.0, 900.0, 1800.0, 900.0, 500.0, 900.0, 530.0, 524.0, 3.0, 3.0, 164.0, 1.20, 1.00, 4454236.86, 34500.88, 5658000.0 
-99.2638708, 19.3847708, 09, 004, 4, 3, 1.0, 6.0, 1.0, 0.79, 0.82, 0.98, 6.0, 6.0, 1.0, 4.0, 2, 5, 2000, 2000, 2000, 2000, 1700.0, 500.0, 2000, 2000, 2000, 3.0, 3.0, 438.0, 1.00, 1.00, 9867791.15, 27900.00, 12220000.0 
-99.298493, 19.362639, 09, 004, 4, 3, 4.0, 5.0, 1.0, 0.9, 0.9, 1.0, 4.0, 4.0, 3.0, 4.0, 3, 4, 2000, 340.0, 340.0, 1500.0, 700.0, 700.0, 700.0, 1000.0, 2000.0, 1.0, 2.0, 105.72, 1.00, 1.00, 1745623.34, 21205.24, 2241000.0 
-99.2698583, 19.3594639, 09, 004, 4, 3, 4.0, 6.0, 1.0, 0.94, 0.94, 1.0, 6.0, 6.0, 1.0, 6.0, 3, 5, 800.0, 1500.0, 1500.0, 2000.0, 100.0, 1500.0, 100.0, 850.0, 1200.0, 2.0, 2.0, 127.48, 1.20, 1.00, 2895791.65, 37658.35, 4801000.0 
-99.271215, 19.366696, 09, 004, 4, 3, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 3.0, 5.0, 3, 5, 500.0, 500.0, 750.0, 2000.0, 750.0, 500.0, 750.0, 750.0, 500.0, 1.0, 1.0, 52.98, 1.20, 1.00, 965999.53, 38674.26, 1899000.0 
-99.2688336, 19.3605336, 09, 004, 4, 3, 1.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 13.0, 5.0, 2, 2, 2000, 2000, 2000, 2000, 100.0, 500.0, 2000, 2000, 2000, 2.0, 3.0, 119.3, 1.00, 1.00, 2979895.79, 37120.00, 4428000.0 
-99.28299, 19.3626, 09, 004, 4, 3, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 13.0, 5.0, 3, 5, 2000.0, 2000.0, 2000, 2000, 2000, 1000.0, 2000, 2000.0, 2000.0, 3.0, 3.0, 164.0, 1.20, 1.00, 3774626.86, 31895.88, 5231000.0 
