SUPERFICIE_TERRENO,SUPERFICIE_PRIVATIVAS,NUMERO_RECAMARAS,NUMERO_RECAMARAS,NUMERO_BANIOS,NUMERO_MEDIOS_BANOS,NUMERO_ESTACIONAMIENTOS,CVE_CLASE_INMUEBLE,CVE_ESTADO_CONSERVACION,ELEVADOR,INDICE_SATURACION_ZONA,CVE_DENSIDAD_HABITACIONAL,DENSIDAD_HABITACIONAL_VIVIENDAS,CVE_NIVEL_SOCIO_ECONOMICO_ZONA,NIVEL_INFRAESTRUCTURA,CVE_NIVEL_INFRAESTR_URBANA,CVE_NIVEL_EQUIPAMIENTO_URBANO,DISTANCIA_IGLESIA,DISTANCIA_BANCOS,DISTANCIA_CANCHAS_DEPORTIVAS,DISTANCIA_CENTRO_DEPORTIVO,DISTANCIA_PLAZASPUBLICAS,DISTANCIA_PARQUES,DISTANCIA_JARDINES,DISTANCIA_MERCADOS,DISTANCIA_SUPERMERCADOS,DISTANCIA_LOCALES_COMERCIALES,DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_,DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_,DISTANCIA_SERVICIOS_SALUD_TERCER_NIVEL_,DISTANCIA_ESCUELAS_PRIMARIAS,DISTANCIA_ESCUELAS_SECUNDARIAS,DISTANCIA_ESCUELAS_PREPARATORIA,DISTANCIA_UNIVERSIDAD,LONGITUD,LATITUD,codigo_postal_ubicacion_inmueble,CAT_REGIMEN_PROPIEDAD,CAT_TIPO_INMUEBLE,id2,IM_VENTAS_VALOR_UNITARIO_APLICABLE_AVALUO_M2,IM_VENTAS_VALOR_MERCADO_INMUEBLE
47.34,44.69,2,2,1,0,1,4,6,2,90,2,80,4,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,87.0968320,20.6614450,77723,2,4,47065,11400,509000
55.09,49.87,2,2,1,0,1,3,6,0,70,4,650,3,100.00,3,4,2000,1300,200,0,0,100,100,1300,2000,500,1500,1500,1500,750,750,1600,1800,-87.0959965,20.6614669,77723,2,4,47927,11690.00,601400.00
1313.56,40.41,1,1,1,0,0,3,6,0,60,4,124,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1215094,20.6755513,77723,2,4,30755,8160.00,329745.60
1313.56,43.71,1,1,1,0,0,3,6,0,60,4,114,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1214115,20.6754981,77723,2,4,31288,7850.00,343123.50
4081.46,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1226796,20.6750229,77723,2,4,34036,7850.00,343123.50
4081.46,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1226231,20.6751027,77723,2,4,34905,8120.00,328129.20
47.34,44.69,2,2,1,0,1,4,6,2,90,2,80,4,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,87.0966660,20.6616360,77723,2,4,34164,11400,509000
4081.46,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1227173,20.6749698,77723,2,4,33420,7850.00,343123.50
869.31,40.41,1,1,1,0,0,3,6,0,60,4,125,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1215143,20.6746279,77723,2,4,36008,8120.00,328129.20
50.69,49.3,2,2,1,0,1,4,6,2,90,2,80,4,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,87.0966660,20.6616360,77723,2,4,38883,11100,547000
90.00,48.52,2,2,1,1,1,4,6,2,70,4,4,0,100,3,4,2000,1000,1000,1000,1000,500,500,1000,1000,0,1000,0,0,1500,1500,0,2000,-87.0877977,20.6690069,77723,2,3,43797,12000.00,582240.00
107.89,82,2,2,2,0,1,4,6,1,70,4,80,4,100.00,3,4,800,700,1000,1000,0,100,100,1500,700,700,700,700,1500,750,900,1000,1900,87.0875000,20.6542083,77723,2,4,40086,14847.94,1217531.08
48.27,49.30,2,2,1,0,1,4,6,0,70,4,650,3,100.00,3,4,2000,1300,200,0,0,100,100,1300,0,500,1500,1500,1500,750,750,1600,1800,-87.0960307,20.6615010,77723,2,4,67318,10200.00,503000.00
52.32,46.84,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1068650,20.6618470,77723,2,4,49954,8958.98,419593.83
67.18,80.58,2,2,2,0,1,4,6,1,45,2,60,3,100.00,3,4,1500,1500,1000,1000,0,500,50,2000,1500,50,1500,200,1000,50,1500,1000,1500,87.0888889,20.6544444,77723,2,4,49590,12212.01,984043.77
46.81,46.84,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1063910,20.6613790,77723,2,4,55722,8787.13,411545.23
52.32,46.84,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1065830,20.6611100,77723,2,4,55495,8958.98,419593.83
2510.78,40.41,1,1,1,0,0,3,6,0,60,4,129,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1238674,20.6755494,77723,2,4,62483,8120.00,328129.20
1573.99,43.71,1,1,1,0,0,3,6,0,60,4,111,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1226849,20.6764337,77723,2,4,62590,7900.00,345309.00
2510.78,43.71,1,1,1,0,0,3,6,0,60,4,120,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1236846,20.6756013,77723,2,4,62565,7850.00,343123.50
999.99,89.76,3,3,2,0,1,4,6,0,60,5,4,6,100,4,4,2000,2000,1300,1300,1400,800,0,2000,2000,600,300,1100,1100,900,700,1000,900,-87.0929028,20.6515917,77723,4,4,27724,9081,815137.8
79.1,44.1,2,2,1,0,1,3,6,2,70,3,40,3,100.00,3,3,2000,0,2000,0,2000,2000,2000,2000,0,2000,2000,2000,0,2000,2000,0,0,87.1134090,20.6766400,77723,2,3,23539,9287.35,410000
2447.89,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1219369,20.6748393,77723,2,4,32797,7850.00,343123.50
2447.89,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1216692,20.6752248,77723,2,4,34292,8120.00,328129.20
79.1,44.1,2,2,1,0,1,3,6,2,70,3,40,3,100.00,3,3,2000,0,2000,0,2000,2000,2000,2000,0,2000,2000,2000,0,2000,2000,0,0,87.1131741,20.6769930,77723,2,3,30750,9287.35,410000
2040.73,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1217961,20.6757113,77723,2,4,31035,7850.00,343123.50
