FECHA_AVALUO, NOMBRE_ESTADO_UBICACION_INMUEBLE,SUPERFICIE_TERRENO,SUPERFICIE_PRIVATIVAS, NUMERO_RECAMARAS,NUMERO_RECAMARAS,NUMERO_BANIOS,NUMERO_MEDIOS_BANOS,NUMERO_ESTACIONAMIENTOS,CVE_CLASE_INMUEBLE,CVE_ESTADO_CONSERVACION,INDICE_SATURACION_ZONA,CVE_DENSIDAD_HABITACIONAL,DENSIDAD_HABITACIONAL_VIVIENDAS,CVE_NIVEL_SOCIO_ECONOMICO_ZONA,NIVEL_INFRAESTRUCTURA,CVE_NIVEL_INFRAESTR_URBANA,CVE_NIVEL_EQUIPAMIENTO_URBANO,DISTANCIA_IGLESIA,DISTANCIA_BANCOS,DISTANCIA_CANCHAS_DEPORTIVAS,DISTANCIA_CENTRO_DEPORTIVO,DISTANCIA_PLAZASPUBLICAS,DISTANCIA_PARQUES,DISTANCIA_JARDINES,DISTANCIA_MERCADOS,DISTANCIA_SUPERMERCADOS,DISTANCIA_LOCALES_COMERCIALES,DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_,DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_,DISTANCIA_SERVICIOS_SALUD_TERCER_NIVEL_,DISTANCIA_ESCUELAS_PRIMARIAS,DISTANCIA_ESCUELAS_SECUNDARIAS,DISTANCIA_ESCUELAS_PREPARATORIA,DISTANCIA_UNIVERSIDAD,LONGITUD,LATITUD,codigo_postal_ubicacion_inmueble,CAT_REGIMEN_PROPIEDAD,CAT_TIPO_INMUEBLE,id2,IM_VENTAS_VALOR_UNITARIO_APLICABLE_AVALUO_M2,IM_VENTAS_VALOR_MERCADO_INMUEBLE





71687800,66649,1,2,51926,5600.00,570920.00
2015-04-06,NUEVO LEON,47.67,44,2,2,1,0,1,3,6,80,4,80,2,100.00,3,3,186,0,89,0,89,89,89,76,454,76,891,0,0,150,48,0,0,100.0955778,25.7023583,66670,2,3,52079,5915.15,260266.6
2015-04-01,NUEVO LEON,119.00,105.05,3,3,2,0,2,4,5,100,3,7,3,100,3,1,0,2000,0,0,50,50,20,500,500,500,1950,0,0,1000,1000,1500,1500,-100.400228,25.75130020,64346,1,2,52202,8200.00,948822.00
2015-04-06,NUEVO LEON,273.04,286.37,3,3,4,1,2,4,6,85,3,4,5,100.00,4,4,900,700,700,1300,700,700,700,900,900,1300,900,1500,0,700,1100,1100,0,-100.3792583,25.7044028,64639,1,2,52337,13360.00,5165243.20
2015-04-06,NUEVO LEON,57.33,46.53,2,2,1,0,1,3,6,80,4,80,2,100.00,3,3,186,0,89,0,89,89,89,76,454,76,891,0,0,150,48,0,0,100.0955778,25.7023583,66670,2,3,52339,5164.08,288207.3
2015-04-06,NUEVO LEON,57.33,46.53,2,2,1,0,1,3,6,80,4,80,2,100.00,3,3,186,0,89,0,89,89,89,76,454,76,891,0,0,150,48,0,0,100.0957972,25.7024500,66670,2,3,52588,5164.08,288207.3
2015-04-06,NUEVO LEON,90.00,71.07,2,2,1,1,1,4,4,95,4,72,4,80,3,4,474,1320,302,834,1375,302,302,144,1375,1375,619,1061,0,225,147,1676,0,-100.2668617,25.7838115,66612,1,2,53140,6820.00,663517.80
