SUPERFICIE_TERRENO,SUPERFICIE_PRIVATIVAS,NUMERO_RECAMARAS,NUMERO_RECAMARAS,NUMERO_BANIOS,NUMERO_MEDIOS_BANOS,NUMERO_ESTACIONAMIENTOS,CVE_CLASE_INMUEBLE,CVE_ESTADO_CONSERVACION,ELEVADOR,INDICE_SATURACION_ZONA,CVE_DENSIDAD_HABITACIONAL,DENSIDAD_HABITACIONAL_VIVIENDAS,CVE_NIVEL_SOCIO_ECONOMICO_ZONA,NIVEL_INFRAESTRUCTURA,CVE_NIVEL_INFRAESTR_URBANA,CVE_NIVEL_EQUIPAMIENTO_URBANO,DISTANCIA_IGLESIA,DISTANCIA_BANCOS,DISTANCIA_CANCHAS_DEPORTIVAS,DISTANCIA_CENTRO_DEPORTIVO,DISTANCIA_PLAZASPUBLICAS,DISTANCIA_PARQUES,DISTANCIA_JARDINES,DISTANCIA_MERCADOS,DISTANCIA_SUPERMERCADOS,DISTANCIA_LOCALES_COMERCIALES,DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_,DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_,DISTANCIA_SERVICIOS_SALUD_TERCER_NIVEL_,DISTANCIA_ESCUELAS_PRIMARIAS,DISTANCIA_ESCUELAS_SECUNDARIAS,DISTANCIA_ESCUELAS_PREPARATORIA,DISTANCIA_UNIVERSIDAD,LONGITUD,LATITUD,codigo_postal_ubicacion_inmueble,CAT_REGIMEN_PROPIEDAD,CAT_TIPO_INMUEBLE,id2,IM_VENTAS_VALOR_UNITARIO_APLICABLE_AVALUO_M2,IM_VENTAS_VALOR_MERCADO_INMUEBLE
51.54,160.65,2,2,3,0,0,5,4,1,99,4,80,5,100.00,3,4,440,1653,1152,1940,1948,1147,1042,891,412,1650,997,1564,1996,685,613,1761,554,99.1666667,19.3884778,03100,2,4,21395,20529.22,3298019.19
20,40,1,1,1,0,0,4,4,2,95,4,120,4,100.00,3,4,800,800,1200,1500,800,600,600,800,800,0,1200,1000,2000,900,900,1500,1500,99.1651778,19.3929056,03100,2,4,50816,27777.74,1110000
317.20,125.97,3,3,2,0,1,4,4,1,100,2,6,5,100,3,4,200,160,0,0,350,80,0,350,0,0,0,0,0,0,0,0,0,-99.1656533,19.37171410,03100,1,4,57074,28395.00,3576918.15
534.24,119.50,2,2,2,1,2,5,6,1,96,3,3,5,100,3,4,330,300,0,0,900,800,0,900,0,0,0,0,0,0,0,0,0,-99.1643305,19.38316380,03100,2,4,96351,39100.00,4672450.00
40.24,111.38,2,2,2,0,2,5,6,2,100,4,120,5,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,99.1634440,19.3869550,03100,2,4,116623,32223.99,3589108.01
70.88,152.17,3,3,3,0,4,4,4,1,95,4,120,4,100.00,3,4,600,400,1000,2000,1000,2000,2000,1000,100,200,1000,1500,2000,1000,1000,1000,1000,99.1758150,19.3712710,03100,2,4,268381,32240.63,5206056.67
18.00,50.85,1,1,1,0,0,4,4,0,99,3,2,4,100,3,4,430,380,0,0,180,180,0,600,0,0,0,0,0,0,0,0,0,-99.1616527,19.37620830,03100,2,4,272927,18600.00,945810.00
20.47,96.29,2,2,2,1,2,5,6,1,100,4,80,5,100.00,3,4,400,1000,2000,2000,1000,1500,1500,1000,1000,500,1500,1500,1500,1500,1500,1500,2000,99.1731800,19.3683500,03100,2,4,275131,31783.4,3060423.59
53.03,158.4,3,3,4,0,1,5,6,1,97,4,100,4,100.00,3,4,250,500,600,600,200,400,400,600,200,200,400,500,500,400,500,300,500,99.1636010,19.3833020,03100,2,4,301460,36513.6,5633754.24
22.61,91.61,2,2,2,0,2,4,4,1,100,4,120,5,100.00,3,4,290,747,1500,900,1400,560,560,406,370,50,194,194,1429,533,348,295,1300,99.1652240,19.3826720,03100,2,4,43505,28026.6,2567516.83
28.65,167.55,3,3,2,0,1,4,4,1,98,4,100,4,100.00,3,4,500,500,500,500,500,500,500,500,500,200,500,500,500,500,500,500,500,99.1702230,19.3939070,03100,2,4,81819,20560.23,3444866.54
169.95,264.71,3,3,4,1,2,4,4,2,98,2,60,5,100.00,3,4,765,350,920,500,900,560,300,600,560,650,800,1200,1500,1300,750,1700,1200,99.1688000,19.3767250,03100,2,3,165696,23196.18,6140260.81
50.00,138.53,3,3,1,1,0,4,4,1,95,3,4,4,100,3,4,1000,200,0,0,0,800,0,1000,0,0,0,0,0,0,0,0,0,-99.2165000,19.54433330,03100,2,4,157367,22000.00,3047660.00
43.01,106.46,2,2,2,1,2,4,4,1,98,4,80,5,100.00,3,4,500,500,1000,2000,2000,1000,1000,1000,500,500,2000,2000,2000,500,500,500,1000,99.1674880,19.3893700,03100,2,4,171858,28542.53,3198637.74
27.16,74.42,2,2,2,0,2,5,6,1,100,4,100,5,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,99.1623722,19.3797194,03100,2,4,184951,39396.86,2931914.32
20,60.51,2,2,1,0,0,4,4,1,90,4,100,5,100.00,3,4,200,250,100,100,450,300,300,850,450,200,200,300,150,150,350,350,350,99.1717370,19.3711780,03100,2,4,209151,18982.76,1148646.81
448,79.33,3,3,1,0,0,4,4,0,100,4,180,6,100.00,4,4,800,500,600,600,600,600,600,500,400,200,1500,1500,1500,400,400,1000,1500,-99.1674211,19.3823881,03100,3,4,248977,17777.78,1410311.29
20.21,74.42,2,2,2,0,2,5,6,1,100,4,100,5,100.00,4,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,100,2000,2000,2000,2000,2000,2000,2000,99.1624000,19.3798500,03100,2,4,267350,43339.92,3225356.85
20.53,88.73,2,2,2,0,2,6,4,2,98,4,125,5,100.00,3,4,1200,1000,850,0,500,1000,1000,0,250,100,0,0,0,850,0,0,0,-99.1696778,19.3687749,03100,3,4,277102,39434.58,3499030.28
82,268.53,3,3,3,0,1,5,4,1,98,4,100,6,100.00,3,4,550,600,500,1000,2000,400,300,1000,600,650,150,1700,1020,400,460,586,619,99.1705917,19.3633389,03100,2,4,296456,19924.2,5350245.43
1797,92,2,2,2,0,2,4,6,1,95,5,400,5,100.00,4,4,430,540,670,840,400,365,365,660,700,200,610,610,940,500,280,690,1010,-99.1631331,19.3976421,03100,3,4,82086,32953.6,3031731.2
583.38,0,0,0,0,0,0,0,0,0,100,4,100,5,100.00,3,4,700,400,500,1800,500,500,500,200,400,350,650,1100,1000,200,200,200,1200,99.1655861,19.3815861,03100,1,1,159497,0,0
23.32,97.56,3,3,2,0,1,4,4,1,100,3,80,4,100.00,4,4,630,320,0,0,0,200,20,0,320,100,634,380,620,200,330,500,450,99.1657111,19.3998306,03100,2,4,185377,20402.62,1990479.61
31.7,103.19,3,3,2,0,2,5,4,1,95,4,60,4,100.00,3,4,1000,400,700,700,1400,1000,1000,800,400,800,800,800,800,1000,800,1200,2000,99.1655000,19.3720361,03100,2,4,211441,23344.22,2410000
17.99,51.18,2,2,1,0,0,4,4,2,95,4,80,4,100.00,3,4,650,850,1500,1500,800,500,500,600,850,10,700,1000,0,400,500,600,600,99.1723250,19.3665250,03100,2,4,243638,15570.6,796903.31
309.80,119.34,3,3,2,1,3,5,4,1,100,4,6,4,100,3,4,600,500,250,250,400,400,400,800,800,150,800,1200,600,800,700,1200,1500,-99.1642111,19.37617220,03100,2,4,297000,35600.00,4248504.00
29.22,111.78,2,2,2,0,2,5,6,1,100,4,100,5,100.00,3,4,700,400,500,1800,500,500,500,200,400,350,650,1100,1000,200,200,200,1200,99.1655861,19.3815861,03100,2,4,159312,37040,4140331.2
411.14,78.49,2,2,2,0,0,5,6,1,100,1,45,0,100.0000,3,4,500,400,0,0,800,500,200,500,400,100,200,1000,0,400,800,1000,200,-99.1630056,19.3970056,03100,2,4,190841,30870,2420000
41,117.7,2,2,2,0,1,4,4,1,100,4,100,5,100.00,4,4,370,400,1300,1300,250,670,670,300,250,200,550,650,1050,400,400,800,1200,99.1769806,19.3701306,03100,2,4,202316,23520,2768304
0.97,12.5,0,0,0,0,1,4,4,1,99,4,100,5,100.00,3,4,660,300,350,350,350,350,350,300,300,150,300,300,1000,15,15,150,700,99.1656520,19.3810610,03100,2,5,213261,12414.3,155178.75
55,122.44,2,2,2,0,2,5,4,2,100,3,80,5,100.00,3,4,578,734,300,2000,2000,250,300,2000,650,650,150,250,450,580,300,500,600,99.1691389,19.3986111,03100,2,4,239482,27767,3399791
20.00,57.46,2,2,1,0,0,4,4,0,100,3,7,4,100,3,4,300,300,500,800,500,300,500,800,400,200,500,500,500,600,400,800,800,-99.1626777,19.39027770,03100,2,4,261375,21200.00,1218152.00
43.83,124.35,3,3,3,0,2,5,6,1,100,3,80,4,90.00,3,4,500,750,2000,2000,750,2000,2000,2000,750,500,500,1000,2000,500,1500,2000,2000,99.1636860,19.3787530,03100,2,4,282403,36218.37,4501470
32.43,117.05,3,3,2,0,2,4,6,1,98,4,60,5,100.00,3,4,500,500,500,500,2000,1000,2000,1000,1000,100,2000,2000,2000,500,500,500,500,99.1638790,19.3883000,03100,2,4,285090,31530.8,3690680.14
112.37,243.12,4,4,4,1,2,5,4,2,100,4,100,4,100.00,3,4,250,200,350,350,200,100,100,350,350,0,560,560,560,150,150,450,450,99.1688590,19.3766300,03100,2,3,287131,26837.37,6525000
16.73,63.03,2,2,2,0,1,4,6,1,100,3,7,4,100,3,4,400,600,0,0,0,550,0,600,0,0,0,0,0,0,0,0,0,-99.1719555,19.38680830,03100,2,4,299290,34100.00,2149323.00
48.96,121.87,3,3,2,1,2,5,6,1,95,2,60,4,100.00,3,4,500,500,0,0,0,500,0,1000,1000,100,1500,1500,1500,1000,1000,1000,1000,99.1720010,19.3894100,03100,2,4,342969,40359.26,5082233.02
224.00,152.00,2,2,2,1,2,4,5,0,100,4,6,5,100,3,4,800,600,500,500,800,400,300,800,400,0,800,1000,500,500,1000,1200,2000,-99.1676638,19.38135270,03100,1,2,29660,27600.00,4589328.00
56.47,122.49,3,3,4,0,2,5,4,2,100,5,120,5,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,99.1614540,19.3842960,03100,2,3,37455,34585.23,5024542.21
47.79,132.40,3,3,2,1,2,4,6,1,100,2,1,3,100,4,4,460,510,1705,0,625,90,90,830,1410,420,390,390,775,35,35,1175,0,99.1665861,19.3775111,03100,2,4,71007,0,0
1609.71,118.08,2,2,2,0,2,5,4,2,100,4,80,5,90.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,99.1717556,19.3641250,03100,2,4,6016,27812.89,3284146.05
158.76,115.65,2,2,2,1,2,6,6,1,100,4,120,5,100,4,4,257,198,0,0,0,1092,1092,0,229,23,158,606,877,169,595,986,0,-99.1644271,19.3890231,03100,2,4,25393,29310.00,4000815.00
105.5,259.27,4,4,1,2,1,4,4,0,98,4,400,5,100.00,4,4,920,273,0,0,0,230,230,0,1500,0,900,0,493,182,700,0,344,-99.1650081,19.3989000,03100,1,2,104668,15606.83,4046382.81
45.8,106.74,2,2,1,0,2,4,4,2,100,4,80,5,100.00,3,4,200,270,170,170,170,170,170,100,100,430,290,450,1180,170,720,300,630,99.1756740,19.3653710,03100,2,4,138761,20878,2396000
25.39,68.55,2,2,2,0,2,5,6,1,100,5,200,5,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,99.1650930,19.3902490,03100,2,4,143374,38155.37,2691861.35
55.16,166.2,3,3,4,0,2,4,6,2,98,4,60,4,100.00,3,4,100,250,500,500,250,250,250,500,250,100,500,250,500,500,500,500,250,99.1614230,19.3843500,03100,2,3,159820,29194.62,4245189.69
50.84,98.08,1,1,2,0,2,4,4,1,95,3,100,4,100.00,3,4,300,500,300,500,500,500,500,300,500,100,500,800,300,600,600,1000,1200,99.1620380,19.3856230,03100,2,4,163294,35884.71,3519572.36
48.54,119.5,2,2,2,1,2,4,6,1,95,4,80,4,100.00,4,4,220,800,550,900,250,550,900,900,400,0,150,150,900,130,100,150,100,99.1641820,19.3832050,03100,2,4,97793,31867.07,3808114.87
104.36,203.32,3,3,3,1,2,5,4,2,100,4,100,5,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,99.1655770,19.3878420,03100,2,3,117680,29149.65,7352999.21
20.65,72.88,2,2,2,0,2,5,6,1,98,4,120,5,100.00,4,4,252,260,17,17,20,17,17,800,260,200,250,500,629,396,250,315,232,99.1623389,19.3796944,03100,2,4,144947,34997.2,2550595.94
34.24,117.05,2,2,2,0,2,4,5,1,95,4,100,5,100.00,4,4,300,800,100,1100,0,200,200,500,1300,60,900,800,700,600,800,1000,1000,99.1710559,19.3796016,03100,2,4,177049,31061.2,3635713.46
13.68,43.12,1,1,1,0,0,4,4,2,100,4,100,5,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,99.1628750,19.4010222,03100,2,4,183168,25944,1118705.28
231.08,67.77,2,2,1,0,0,4,4,0,100,3,7,4,100,3,4,500,300,500,800,700,500,500,800,400,200,500,500,500,600,400,800,800,-99.1665250,19.37811110,03100,2,4,215248,29750.00,2016157.50
45.7,134,3,3,2,0,1,5,4,1,100,3,80,5,100.00,3,4,967,750,377,1850,2000,300,300,2000,750,650,100,1350,2000,700,250,875,350,99.1665444,19.3966778,03100,2,4,248470,20428.28,2737389.52
53.33,110,2,2,2,0,2,4,4,2,100,4,120,5,100.00,3,4,700,315,80,80,750,80,80,300,250,100,550,550,550,500,660,186,400,99.1636528,19.3789528,03100,2,4,337882,28787.88,3166666.8
50.51,139.31,3,3,4,1,2,4,6,1,95,4,400,5,100.00,4,3,715,10,850,0,0,1000,1000,0,0,100,0,0,0,850,0,0,0,-99.1699780,19.3881380,03100,3,4,340163,34802.73,4848368.32
53.2,113.4,3,3,2,0,3,5,4,1,95,4,100,5,100.00,4,4,700,500,1100,0,0,600,700,500,1100,100,1000,1300,1800,800,500,500,600,99.1666667,19.3834889,03100,2,4,36264,31456.71,3567190.91
3392.13,60.51,1,1,1,0,0,4,4,1,90,4,6,5,100,4,4,42,632,800,800,650,373,373,288,1800,200,332,400,400,283,283,500,500,99.1730167,19.3701917,03100,1,4,40241,0,0
15,59.54,2,2,1,0,1,4,4,2,100,4,80,5,100.00,3,4,200,270,170,170,170,170,170,100,100,430,290,450,1180,170,720,300,630,99.1632590,19.3795700,03100,2,4,56310,24951,1486000
30.45,72.2,3,3,1,0,1,4,4,2,98,4,80,5,100.00,4,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,2000,2000,2000,2000,2000,2000,99.1716806,19.3633583,03100,2,4,115407,24363.64,1759054.81
84,217.46,3,3,3,1,2,5,4,2,100,4,80,5,100.00,4,4,200,270,170,170,170,170,170,100,100,430,290,450,1180,170,720,300,630,99.1709790,19.3809820,03100,2,3,32594,27200,5915000
65.14,145.94,2,2,2,2,2,5,6,2,100,4,80,5,100.00,4,4,400,300,400,400,1000,400,400,1000,20,0,1000,1000,1000,200,200,200,2000,99.1635028,19.3869611,03100,2,4,116409,34703,5064556
27.56,112.31,2,2,2,0,2,4,6,1,100,3,40,5,90.00,3,4,500,500,1000,1000,500,500,500,500,1000,200,500,1000,1000,500,500,1000,2000,99.1686840,19.3872550,03100,2,4,285464,34078.39,3829771
53.56,157.8,3,3,4,1,2,5,6,1,100,4,100,5,100.00,4,4,1000,1000,500,2000,1000,500,500,1000,1000,200,2000,1000,1000,500,500,1000,2000,99.1635280,19.3829650,03100,2,4,297681,36576.85,5771826.93
307.80,110.48,3,3,2,1,2,5,4,0,100,3,7,4,100,3,4,900,300,500,800,400,400,500,800,400,200,500,500,500,600,400,800,800,-99.1705555,19.38055550,03100,2,4,293186,28700.00,3330922.00
42,112.67,2,2,2,0,1,4,4,1,95,1,100,0,100.0000,3,4,500,250,900,0,200,650,20,100,700,2,200,250,0,300,200,500,200,-99.1699250,19.3743389,03100,2,4,8344,22730,2740000
20.3,74.6,2,2,2,0,2,5,6,1,95,4,80,4,100.00,3,4,450,250,150,900,600,15,15,1000,250,0,400,300,150,200,200,300,250,99.1624917,19.3795694,03100,2,4,47079,38212.44,2850648.02
61.13,169.62,3,3,2,1,2,5,6,2,95,3,120,5,100.00,4,4,900,1100,950,0,1600,800,880,0,1000,0,1300,750,0,1200,1200,1200,1500,99.1642330,19.3836610,03100,2,3,61866,32068.52,5439462.36
45.8,106.74,2,2,1,0,2,4,4,2,100,4,80,5,100.00,3,4,200,270,170,170,170,170,170,100,100,430,290,450,1180,170,720,300,630,99.1756740,19.3653710,03100,2,4,91097,20878,2396000
17.81,69.87,2,2,2,0,1,5,6,1,98,3,200,5,100.00,4,4,252,260,17,17,20,17,17,800,260,100,250,500,450,396,250,315,232,99.1624060,19.3797300,03100,2,4,110235,34531.21,2412695.64
1188.63,55.71,1,1,1,0,0,4,4,4,96,3,4,5,100,3,4,500,130,0,0,300,140,0,560,0,0,0,0,0,0,0,0,0,-99.1705722,19.39778330,03100,2,4,154481,21140.00,1177709.40
52.57,174.72,3,3,3,1,3,5,6,1,95,4,200,4,100.00,3,4,500,500,500,500,500,1000,500,500,500,200,2000,2000,2000,500,600,1000,1000,99.1639250,19.3777220,03100,2,4,171794,32641.4,5927505.41
