FECHA_AVALUO, NOMBRE_ESTADO_UBICACION_INMUEBLE,SUPERFICIE_TERRENO,SUPERFICIE_PRIVATIVAS, NUMERO_RECAMARAS,NUMERO_RECAMARAS,NUMERO_BANIOS,NUMERO_MEDIOS_BANOS,NUMERO_ESTACIONAMIENTOS,CVE_CLASE_INMUEBLE,CVE_ESTADO_CONSERVACION,ELEVADOR,INDICE_SATURACION_ZONA,CVE_DENSIDAD_HABITACIONAL,DENSIDAD_HABITACIONAL_VIVIENDAS,CVE_NIVEL_SOCIO_ECONOMICO_ZONA,NIVEL_INFRAESTRUCTURA,CVE_NIVEL_INFRAESTR_URBANA,CVE_NIVEL_EQUIPAMIENTO_URBANO,DISTANCIA_IGLESIA,DISTANCIA_BANCOS,DISTANCIA_CANCHAS_DEPORTIVAS,DISTANCIA_CENTRO_DEPORTIVO,DISTANCIA_PLAZASPUBLICAS,DISTANCIA_PARQUES,DISTANCIA_JARDINES,DISTANCIA_MERCADOS,DISTANCIA_SUPERMERCADOS,DISTANCIA_LOCALES_COMERCIALES,DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_,DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_,DISTANCIA_SERVICIOS_SALUD_TERCER_NIVEL_,DISTANCIA_ESCUELAS_PRIMARIAS,DISTANCIA_ESCUELAS_SECUNDARIAS,DISTANCIA_ESCUELAS_PREPARATORIA,DISTANCIA_UNIVERSIDAD,LONGITUD,LATITUD,codigo_postal_ubicacion_inmueble,CAT_REGIMEN_PROPIEDAD,CAT_TIPO_INMUEBLE,id2,IM_VENTAS_VALOR_UNITARIO_APLICABLE_AVALUO_M2,IM_VENTAS_VALOR_MERCADO_INMUEBLE
2015-04-01,QUINTANA ROO,56.25,38.00,1,1,1,0,1,3,4,0,70,4,650,3,100.00,3,3,1800,2000,200,0,0,100,100,2000,2000,1500,2000,0,0,500,700,1600,0,-86.9201089,21.1420965,77539,2,3,48405,6440.00,245000.00
2015-04-02,QUINTANA ROO,75.00,38.33,1,1,1,0,1,3,6,0,70,4,650,3,100.00,3,4,1800,2000,200,0,0,100,100,2000,2000,1500,2000,0,0,500,700,1600,0,-87.0874394,20.6707936,77710,2,3,51003,11480.00,440000.00
2015-04-04,QUINTANA ROO,168.10,107.79,2,2,1,1,1,4,6,0,80,4,650,4,100.00,3,4,750,1200,250,1100,1230,250,250,1230,1230,360,1800,1800,1800,700,1100,1100,1500,-86.8746389,21.1210001,77535,1,2,51170,10350.00,1116000.00
2015-04-04,QUINTANA ROO,168.10,92.17,3,3,1,1,1,4,6,0,80,4,650,4,100.00,3,4,750,1200,250,1100,1230,250,250,1230,1230,360,1800,1800,1800,700,1100,1100,1500,-86.8747501,21.1201944,77535,1,2,51171,10310.00,950000.00
2015-04-06,QUINTANA ROO,116.64,125.26,2,2,1,0,1,3,4,0,70,4,650,4,100.00,3,3,1500,2000,100,0,0,200,200,1150,450,200,750,1500,2000,1600,1200,1700,2000,-86.8411341,21.1315213,77533,2,2,52350,8490.00,1063500.00
2015-04-06,Quintana Roo,90.00,48.52,2,2,1,1,1,4,6,2,70,4,4,0,90,3,4,2000,1000,1000,1000,1000,500,500,1000,1000,0,1000,0,0,1500,1500,0,2000,-87.0880444,20.6688611,77723,2,3,52425,12000.00,582240.00
2015-04-24,QUINTANA ROO,131.18,179.59,3,3,3,1,2,5,5,1,90,1,75,0,100.0000,3,4,1500,800,500,1500,0,200,200,1000,800,200,1000,1000,1000,0,800,1000,2000,-86.8302778,21.1461667,77500,2,4,52833,13140,2360000
2015-04-07,QUINTANA ROO,113.19,86.31,3,3,3,0,1,4,6,0,70,4,650,3,100.00,3,4,2000,1300,200,0,0,100,100,1300,0,500,1500,1500,1500,750,750,1600,1800,-87.0933611,20.6592583,77723,2,3,54263,9870.00,952000.00
2015-04-07,QUINTANA ROO,4700.94,206.94,3,3,3,1,2,4,6,0,35,3,6,5,100,3,4,616,548,0,0,548,5,5,100,548,0,1215,2000,2000,750,807,1200,1400,-87.0855444,20.65467500,77723,2,3,56513,10633.00,2200393.02
2015-04-01,QUINTANA ROO,78.75,35.03,1,1,1,0,1,3,4,2,95,3,60,3,100.00,3,4,1000,2000,1500,0,0,1500,1000,1000,1000,800,0,2000,2000,1500,1500,2000,2000,86.8738861,21.1953472,77516,2,3,56543,8606.84,301497.61
2015-04-08,QUINTANA ROO,64.43,71.43,2,2,1,0,1,3,4,0,70,4,650,3,100.00,3,4,1800,2000,200,0,0,100,100,2000,2000,1500,2000,0,0,500,700,1600,0,-86.8861119,21.1450469,77539,2,4,56552,4480.00,320000.00
2015-04-01,QUINTANA ROO,65.92,39.11,1,1,1,0,1,3,4,2,95,3,60,3,100.00,3,4,1000,2000,1500,0,0,1500,1000,1000,1000,800,0,2000,2000,1500,1500,2000,2000,86.8763444,21.1864000,77516,2,3,56903,7692.28,300845.07
2015-04-08,Quintana Roo,85.50,119.22,3,3,3,0,1,4,5,2,100,4,5,0,90,3,4,1000,700,600,600,600,100,100,600,200,200,500,0,0,1000,1000,1500,1500,-86.8393444,21.1368556,77533,2,3,57379,7900.00,941838.00
2015-04-07,Quintana Roo,133.1,109.69,3,3,2,1,1,4,6,0,60,5,4,6,100,4,4,2000,2000,1300,1300,1400,800,0,2000,2000,300,300,1100,1100,900,700,1000,900,-87.0913583,20.6529917,77723,4,3,57480,9677,1061470.13
2015-04-08,QUINTANA ROO,3284.61,63.70,1,1,1,0,1,5,6,2,60,4,7,5,100,3,4,800,400,0,0,800,400,0,200,0,0,0,0,0,0,0,0,0,-87.0731250,20.63081380,77710,2,4,57566,40332.00,2569148.40
2015-04-07,QUINTANA ROO,129.5,115.27,5,5,2,0,1,4,6,2,60,4,100,3,100.00,3,4,2000,2000,2000,0,1500,500,500,2000,2000,1000,0,1500,1500,2000,2000,2000,2000,88.2735611,18.5433083,77014,2,3,57850,8379.04,965851.94
2015-04-08,QUINTANA ROO,107.22,98.37,3,3,2,1,2,3,4,0,70,4,650,4,100.00,4,3,750,1200,250,1100,1230,250,250,1230,1230,360,1800,1800,1800,700,1100,1100,1500,-86.8423193,21.1344753,77533,2,3,57956,8640.00,850000.00
2015-04-01,QUINTANA ROO,115.2,38.05,1,1,1,0,1,3,6,2,95,4,80,2,100.00,3,4,1200,1500,1200,1200,2000,1200,1200,2000,2000,800,1500,1850,1250,600,2000,2000,1800,88.2762778,18.5518333,77014,1,2,17351,9064.79,344915.26
2015-04-01,QUINTANA ROO,160.00,33.70,2,2,1,0,1,3,4,0,70,4,650,4,100.00,3,4,1500,2000,100,0,0,200,200,1150,450,200,750,1500,2000,1600,1200,1700,2000,-86.8558710,21.1858178,77516,2,2,48101,9650.00,325200.00
2015-04-01,QUINTANA ROO,43.2,47.87,2,2,1,0,1,3,6,2,70,3,200,3,100.00,3,1,0,0,500,0,1500,500,500,0,1500,300,800,0,0,800,800,0,0,86.8702889,21.1959583,77500,2,3,53099,8334.19,398957.68
2015-04-06,Quintana Roo,149.25,183.56,4,4,3,0,0,4,4,2,90,4,4,0,90,3,4,800,2000,1000,1000,0,400,1000,2000,0,500,2000,0,0,1000,1000,2000,0,-88.3214166,18.5093333,77026,1,2,53400,5550.00,1048950.00
2015-04-07,QUINTANA ROO,112.32,85.96,3,3,3,0,1,4,6,0,70,4,650,3,100.00,3,4,2000,1300,200,0,0,100,100,1300,0,500,1500,1500,1500,750,750,1600,1800,-87.0933639,20.6592589,77723,2,3,54551,9770.00,937000.00
2015-04-07,QUINTANA ROO,75.28,38.33,1,1,1,0,1,3,4,0,70,4,650,4,100.00,4,3,2000,1300,200,0,0,100,100,1300,0,500,1500,1500,1500,750,750,1600,1800,-87.0854691,20.6717753,77710,2,3,55220,8350.00,320000.00
2015-04-06,QUINTANA ROO,145.00,147.50,3,3,2,1,1,4,6,0,40,4,7,5,100,3,4,200,1000,0,0,1000,200,200,1000,1000,0,1000,0,0,800,800,800,0,-87.0764666,20.66171660,77714,1,2,55279,10097.00,1489307.50
2015-04-07,QUINTANA ROO,93.00,79.97,2,2,1,1,1,3,4,0,70,4,650,4,100.00,3,3,1500,2000,100,0,0,200,200,1150,450,200,750,1500,2000,1600,1200,1700,2000,-86.8733713,21.1257054,77535,2,3,55512,8450.00,676000.00
2015-04-08,QUINTANA ROO,125.11,123.09,3,3,2,1,2,4,6,0,70,4,650,3,100.00,3,4,1800,2000,200,0,0,100,100,2000,2000,1500,2000,0,0,500,700,1600,0,-86.8797778,21.1290833,77535,2,3,56399,7960.00,1100100.00
2015-04-07,Quintana Roo,999.99,89.76,3,3,2,0,0,4,6,0,60,5,4,6,100,4,4,2000,2000,1300,1300,1400,800,0,2000,2000,600,300,1100,1100,900,700,1000,900,-87.0926389,20.6520222,77710,4,4,57637,9273,832372.3
2015-04-06,QUINTANA ROO,217.7,117.56,3,3,2,1,1,4,4,2,95,3,60,3,100.00,3,3,1000,0,1500,1500,1500,1500,1500,1000,1500,1000,1500,1500,1500,1500,1500,1500,1500,86.8193167,21.1986861,77528,2,3,57851,8154.57,958651.25
2015-04-08,QUINTANA ROO,109.18,101.22,3,3,2,1,2,4,6,0,70,4,650,3,100.00,3,4,1800,2000,200,0,0,100,100,2000,2000,1500,2000,0,0,500,700,1600,0,-86.8789444,21.1231111,77535,2,3,57912,11040.00,1199500.00
