codigo_postal_ubicacion_inmueble	avaluos	Estado
45653	4564	Jalisco
45650	3222	Jalisco
77723	2916	Quintana roo
45654	2283	Jalisco
66003	2193	Nuevo Leon
77517	2175	Quintana roo
42186	2174	Hidalgo
77519	2154	Quintana roo
32575	2145	
43816	1747	
74160	1737	
66670	1675	
42995	1516	
97314	1507	
45640	1491	
21395	1391	
55796	1382	
76246	1305	
66008	1301	
67265	1238	
76116	1229	
22165	1135	
45200	1111	
56644	1103	
67250	1100	
89603	1078	
94274	1071	
67280	1056	
45645	1051	
97370	985	
45870	957	
55767	946	
83118	937	
76118	928	
66025	923	
20126	916	
66023	911	
65776	907	
88799	902	
67456	877	
86247	876	
96535	863	
77539	860	
76235	851	
37544	850	
45410	804	
66012	783	
66559	770	
45685	764	
55635	747	
82139	745	
80295	733	
43815	729	
25016	723	
97302	686	
66580	674	
31184	674	
39905	672	
58337	663	
91697	660	
32576	650	
76267	647	
54687	639	
66612	635	
83177	631	
88715	625	
72597	618	
23084	615	
20174	606	
20196	602	
45680	597	
38185	590	
66583	588	
32720	582	
87313	578	
58330	575	
88736	563	
31385	561	
72480	553	
45427	552	
97392	549	
23088	545	
62790	544	
43823	540	
37358	537	
66085	535	
31313	531	
66084	529	
89602	528	
63737	525	
76146	523	
27277	520	
66550	519	
87347	519	
45615	512	
66610	507	
91726	502	
77580	502	
77014	500	
78421	498	
78394	495	
77710	494	
81294	491	
77518	490	
37357	485	
45655	484	
28984	483	
62588	483	
52004	482	
55765	481	
98612	481	
20298	480	
27087	470	
72730	469	
83287	469	
42082	468	
64346	468	
55630	467	
86290	464	
58300	464	
80050	464	
97296	464	
37800	463	
77536	462	
91809	460	
91808	459	
72494	450	
88735	448	
21355	448	
65555	445	
45880	444	
78438	440	
42994	439	
43806	438	
45134	432	
37669	432	
45138	432	
25902	431	
65580	430	
78430	430	
76148	427	
72700	424	
81271	424	
42119	424	
11320	417	
50220	414	
66647	414	
66000	406	
62720	403	
67254	403	
91826	399	
43840	399	
25084	398	
76230	398	
8100	394	
37547	394	
66027	389	
72710	387	
27054	385	
91698	382	
82124	382	
65573	380	
66064	378	
67269	375	
31579	375	
20358	371	
89606	368	
77535	367	
45130	366	
77500	366	
37359	365	
85099	363	
29130	363	
76910	363	
67267	362	
96349	359	
45417	358	
82134	355	
58348	353	
66650	351	
58116	350	
65550	349	
37295	349	
78434	347	
29160	346	
63735	346	
72680	345	
31650	344	
55764	342	
55607	339	
32695	338	
25905	336	
88290	332	
67258	330	
27073	330	
78100	329	
38294	327	
98605	327	
66636	326	
66050	323	
23085	321	
96536	320	
66062	319	
32599	311	
3100	310	
81278	309	
67485	309	
66037	307	
76830	307	
62737	307	
72310	304	
76803	302	
45606	302	
22125	300	
45066	299	
67289	299	
62907	298	
22254	295	
43845	293	
38030	292	
72490	292	
43863	290	
76269	290	
78420	286	
28865	283	
88796	281	
88730	280	
72850	278	
54680	276	
22785	271	
91775	271	
80058	270	
76147	269	
66059	268	
31137	266	
35015	265	
26284	265	
32546	265	
27086	264	
77734	264	
85064	263	
22205	262	
63173	262	
22170	261	
76245	259	
80014	258	
27400	257	
28869	255	
38024	254	
88795	254	
83117	254	
98658	254	
78433	253	
34306	252	
66024	250	
22235	249	
84086	248	
94732	248	
76900	248	
45660	247	
31170	246	
21620	246	
8500	245	
83296	243	
27013	243	
9210	241	
22236	240	
89604	240	
67277	239	
97306	237	
25790	237	
86250	237	
78130	236	
22123	235	
11410	235	
67286	234	
37590	234	
44720	233	
84160	233	
22654	232	
22245	231	
3020	230	
83288	229	
82090	229	
22253	229	
54715	227	
23473	226	
66607	224	
88655	224	
