FECHA_AVALUO, NOMBRE_ESTADO_UBICACION_INMUEBLE,SUPERFICIE_TERRENO,SUPERFICIE_PRIVATIVAS, NUMERO_RECAMARAS,NUMERO_RECAMARAS,NUMERO_BANIOS,NUMERO_MEDIOS_BANOS,NUMERO_ESTACIONAMIENTOS,CVE_CLASE_INMUEBLE,CVE_ESTADO_CONSERVACION,ELEVADOR,INDICE_SATURACION_ZONA,CVE_DENSIDAD_HABITACIONAL,DENSIDAD_HABITACIONAL_VIVIENDAS,CVE_NIVEL_SOCIO_ECONOMICO_ZONA,NIVEL_INFRAESTRUCTURA,CVE_NIVEL_INFRAESTR_URBANA,CVE_NIVEL_EQUIPAMIENTO_URBANO,DISTANCIA_IGLESIA,DISTANCIA_BANCOS,DISTANCIA_CANCHAS_DEPORTIVAS,DISTANCIA_CENTRO_DEPORTIVO,DISTANCIA_PLAZASPUBLICAS,DISTANCIA_PARQUES,DISTANCIA_JARDINES,DISTANCIA_MERCADOS,DISTANCIA_SUPERMERCADOS,DISTANCIA_LOCALES_COMERCIALES,DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_,DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_,DISTANCIA_SERVICIOS_SALUD_TERCER_NIVEL_,DISTANCIA_ESCUELAS_PRIMARIAS,DISTANCIA_ESCUELAS_SECUNDARIAS,DISTANCIA_ESCUELAS_PREPARATORIA,DISTANCIA_UNIVERSIDAD,LONGITUD,LATITUD,codigo_postal_ubicacion_inmueble,CAT_REGIMEN_PROPIEDAD,CAT_TIPO_INMUEBLE,id2,IM_VENTAS_VALOR_UNITARIO_APLICABLE_AVALUO_M2,IM_VENTAS_VALOR_MERCADO_INMUEBLE

2015-04-01,DISTRITO FEDERAL,12.85,88.88,3,3,2,1,2,4,6,1,100,4,100,4,100.00,3,4,1000,100,100,100,100,100,100,300,300,100,500,500,300,600,700,1709,2000,99.1919200,19.3871510,01180,2,4,18038,30157.66,2680000
2015-04-01,DISTRITO FEDERAL,9753.10,101.30,2,2,2,0,2,6,6,1,100,2,348,5,100,4,4,720,132,0,1200,0,400,400,980,661,150,351,630,1634,293,298,407,1270,-99.1790791,19.4375761,11320,2,4,18240,42790.00,4334627.00
2015-04-01,DISTRITO FEDERAL,185,166.1,3,3,3,1,3,4,4,2,95,3,60,5,100.00,3,4,200,800,1200,1200,200,800,800,800,1200,200,200,500,0,500,800,0,0,99.1928840,19.2822810,14250,2,3,18313,16432.85,3011000
2015-04-01,DISTRITO FEDERAL,14,61.4,2,2,1,0,1,4,4,1,100,4,100,4,100.00,4,4,300,1200,1000,1000,800,400,1000,1000,400,200,500,500,300,300,800,300,200,99.1884583,19.3668833,03900,2,4,19634,30883.57,1896251
2015-04-01,DISTRITO FEDERAL,9753.10,124.91,3,3,2,0,2,6,6,1,100,2,269,5,100,4,4,720,132,0,1200,0,400,400,980,661,150,351,630,1634,293,298,407,1270,-99.1790791,19.4375761,11320,2,4,19742,41250.00,5795212.50
2015-04-01,DISTRITO FEDERAL,779.00,49.23,2,2,1,0,1,4,6,0,100,4,200,4,80,3,4,204,1172,0,1148,0,1140,1140,0,1139,19,149,1795,1797,135,343,732,0,-99.1875231,19.2846081,14250,2,4,19810,22240.00,1094875.20
2015-04-01,DISTRITO FEDERAL,28.00,80.20,3,3,2,0,0,4,4,0,100,3,232,4,80,3,4,365,475,0,1363,0,1142,0,676,676,100,466,382,1239,678,174,1172,252,-99.1075331,19.4074311,15900,2,4,19842,15600.00,1251104.40
2015-04-01,DISTRITO FEDERAL,35.76,44.79,2,2,1,0,1,4,6,2,100,4,80,3,100.00,3,4,449,1208,463,1092,659,659,659,453,1176,171,219,739,1354,970,877,1970,0,99.0449300,19.2973750,13200,2,4,48482,19432.26,870370.93
2015-04-01,DISTRITO FEDERAL,28.99,54.18,2,2,1,0,1,4,6,2,98,4,80,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,2000,2000,2000,99.0535180,19.3933970,09210,2,4,48690,17600,954000
2015-04-01,DISTRITO FEDERAL,185,166.1,3,3,3,1,3,4,4,2,95,3,60,5,100.00,3,4,200,800,1200,1200,200,800,800,800,1200,200,200,500,0,500,800,0,0,99.1928840,19.2822810,14250,2,3,48873,16432.85,3011000
2015-04-01,DISTRITO FEDERAL,935.00,68.67,2,2,1,0,1,4,4,0,85,4,5,4,100,4,4,1000,300,210,210,200,210,70,1000,200,100,550,550,550,400,400,800,2000,99.1262444,19.3076556,04920,1,4,49276,0,0
2015-04-01,DISTRITO FEDERAL,19.38,49.37,2,2,1,0,1,3,4,2,100,4,80,3,100.00,3,4,554,934,488,1003,1878,698,698,1644,458,250,453,450,1995,455,961,622,495,99.1750190,19.4936640,02250,2,4,49376,17029.35,840739.01
2015-04-01,DISTRITO FEDERAL,27.00,71.46,2,2,2,0,1,4,4,0,100,5,6,4,100,4,4,350,600,1000,1200,550,250,500,500,700,700,700,1200,1800,500,800,700,1500,-99.1805832,19.4005562,11800,2,4,49870,26649.87,1904400.00
2015-04-01,DISTRITO FEDERAL,48.00,65.58,3,3,1,0,0,4,4,0,100,3,135,4,80,3,4,130,157,600,1267,200,600,400,217,217,123,41,726,325,124,543,493,501,-99.1280421,19.2924611,14390,2,4,50246,21260.00,1394230.80
2015-04-01,DISTRITO FEDERAL,19.21,101.47,2,2,2,0,2,4,6,1,99,4,1,6,99,4,4,910,100,1465,1465,355,950,355,450,170,50,880,1695,0,450,390,1440,1520,-99.1788681,19.4375181,11320,2,4,50789,43986.37,4240132.12
2015-04-06,DISTRITO FEDERAL,16219.31,41.17,1,1,1,0,0,5,6,1,100,2,147,3,100,4,4,650,100,350,100,0,650,650,450,100,150,750,750,0,750,550,500,2000,-99.2406911,19.3650971,01520,2,4,51691,23300.00,959261.00
2015-04-01,DISTRITO FEDERAL,300.00,355.47,3,3,4,1,3,5,4,0,100,3,7,4,100,3,4,60,80,0,0,250,40,0,150,0,0,0,0,0,0,0,0,0,-99.1260561,19.49538910,07300,1,2,51906,21740.00,7727917.80
2015-04-01,DISTRITO FEDERAL,16219.31,40.78,1,1,1,0,0,5,6,1,100,2,148,3,100,4,4,650,100,350,100,0,650,650,450,100,150,750,750,0,750,550,500,2000,-99.2406911,19.3650971,01520,2,4,17311,23820.00,971379.60
