Fecha_hora_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,promedio_factual,promedio_regresion,error_avg,error_min,error_max,error_dstd
"Thursday, 20. October 2016 11:07PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold1_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,16.16978406906128,123,13,250,15,1,8,1,30410.176923076921,31345.486435262395,4671.9548895951993,111.2235647376001,13354.513564737601,4564.903533196889
"Thursday, 20. October 2016 11:08PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold2_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.915260076522827,123,13,250,15,1,8,1,34065.040000000001,33582.388532126199,4200.9415596243543,275.3814678737981,13154.1085321262,4100.5061613847065
"Thursday, 20. October 2016 11:08PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold3_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.17588186264038,123,13,250,15,1,8,1,30197.231538461539,31002.305510314625,3563.0087362625131,297.72119047088927,10229.003327897728,3047.742106861678
"Thursday, 20. October 2016 11:08PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold4_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.02901577949524,123,13,250,15,1,8,1,33245.144615384619,32075.035635768108,6183.4093583122549,218.73707518189622,18018.427507695524,5136.6368392127515
"Thursday, 20. October 2016 11:08PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold5_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,19.600385904312134,123,13,250,15,1,8,1,31097.516153846154,32019.63684369309,5170.3743725917757,1172.6368436930898,12259.63684369309,3298.321959585341
"Thursday, 20. October 2016 11:09PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold6_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.49996304512024,123,13,250,15,1,8,1,30101.170000000002,31531.953912499222,5176.3146504608249,1148.9898488836407,9925.1402527411446,2800.086853439231
"Thursday, 20. October 2016 11:09PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold7_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.217610120773315,123,13,250,15,1,8,1,33679.31923076923,32648.164562935337,5112.9179986295485,249.51466072804033,11439.230323875941,3407.198516578149
"Thursday, 20. October 2016 11:09PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold8_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.924617052078247,123,13,250,15,1,8,1,32245.810769230768,31428.38790574544,3228.7177322668263,1091.8708837673948,8708.1291162326052,1988.5889041865616
"Thursday, 20. October 2016 11:09PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold9_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.544398069381714,123,13,250,15,1,8,1,33157.199230769227,31773.221054709094,6466.7712950671312,926.22105470909446,12386.778945290906,3586.6414273252794
"Thursday, 20. October 2016 11:10PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold10_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.798746824264526,123,13,250,15,1,8,1,34302.463076923079,32566.81329665659,4690.4066864156821,600.98670334341296,10183.18670334341,2821.0481416042876
