Fecha_hora_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,promedio_factual,promedio_regresion,error_avg,error_min,error_max,error_dstd
"Thursday, 20. October 2016 11:12PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold1_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.653450012207031,123,13,250,16,1,8,1,1051654.0761538462,1131478.1930727125,391005.8964752109,23645.267742204946,880541.077742205,235347.59250402293
"Thursday, 20. October 2016 11:12PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold2_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,16.061073064804077,123,13,250,16,1,8,1,1226592.4023076924,976300.00783068582,458980.26544973627,66691.307830685866,1899781.0321693141,470115.0109309191
"Thursday, 20. October 2016 11:12PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold3_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.597548007965088,123,13,250,16,1,8,1,878406.06076923083,1006934.1406463846,272031.79524595145,136120.30670093838,537624.47670093831,131799.29894738484
"Thursday, 20. October 2016 11:13PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold4_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.337968826293945,123,13,250,16,1,8,1,888636.69846153841,999394.08920287853,422541.20654877159,97475.034052958712,865675.88717383635,204720.52339836137
"Thursday, 20. October 2016 11:13PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold5_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.234531879425049,123,13,250,16,1,8,1,871968.66461538465,970405.77355064556,460141.19272027235,123652.18090696097,1899975.862754768,437893.80299639143
"Thursday, 20. October 2016 11:13PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold6_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.265950918197632,123,13,250,16,1,8,1,947558.73846153845,1038545.2717815826,497354.50019008294,156373.14178158261,2049185.5282184172,484409.2302058018
"Thursday, 20. October 2016 11:13PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold7_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.304466962814331,123,13,250,16,1,8,1,1252720.636153846,1001525.9321028811,470520.41895559989,24017.836422797991,2613261.0335772024,652158.1152196099
"Thursday, 20. October 2016 11:14PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold8_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.000631093978882,123,13,250,16,1,8,1,1033455.7230769231,1012900.7998910956,344979.89882724232,35399.164754149737,766152.87524585007,242314.91337560696
"Thursday, 20. October 2016 11:14PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold9_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.012295007705688,123,13,250,16,1,8,1,990488.53923076927,977680.72108358017,371604.61742077809,12139.537313112407,798928.99240588862,276033.99125560065
"Thursday, 20. October 2016 11:14PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold10_L1_H8,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.699361085891724,123,13,250,16,1,8,1,1013522.9476923078,1050404.0387397066,418217.17970916309,65160.961260293378,2037326.7612602932,500932.4564867631
